cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV21|SEQ00029	VBIGarVag274454_0029	Gardnerella vaginalis JCP7275	ATJS01000003	PATRIC	CDS	183966690	33575	33691	-	117		hypothetical protein	GV21	NA
GV21|SEQ00235	VBIGarVag274454_0235	Gardnerella vaginalis JCP7275	ATJS01000011	PATRIC	CDS	183967118	2376	2624	-	249		Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GV21	NA
GV21|SEQ00337	VBIGarVag274454_0337	Gardnerella vaginalis JCP7275	ATJS01000012	PATRIC	CDS	183967329	20024	20140	-	117		hypothetical protein	GV21	NA
GV21|SEQ00344	VBIGarVag274454_0344	Gardnerella vaginalis JCP7275	ATJS01000012	PATRIC	CDS	183967343	25967	26233	-	267		hypothetical protein	GV21	NA
GV21|SEQ00345	VBIGarVag274454_0345	Gardnerella vaginalis JCP7275	ATJS01000012	PATRIC	CDS	183967345	26226	26396	-	171		hypothetical protein	GV21	NA
GV21|SEQ00394	VBIGarVag274454_0395	Gardnerella vaginalis JCP7275	ATJS01000018	PATRIC	CDS	183967451	1833	2840	-	1008		hypothetical protein	GV21	NA
GV21|SEQ00395	VBIGarVag274454_0396	Gardnerella vaginalis JCP7275	ATJS01000018	PATRIC	CDS	183967453	3059	3319	+	261		hypothetical protein	GV21	NA
GV21|SEQ00464	VBIGarVag274454_0465	Gardnerella vaginalis JCP7275	ATJS01000024	PATRIC	CDS	183967597	11792	11956	-	165		hypothetical protein	GV21	NA
GV21|SEQ00522	VBIGarVag274454_0523	Gardnerella vaginalis JCP7275	ATJS01000025	PATRIC	CDS	183967718	197	361	-	165		ATP-dependent DNA helicase	GV21	NA
GV21|SEQ00554	VBIGarVag274454_0555	Gardnerella vaginalis JCP7275	ATJS01000029	PATRIC	CDS	183967786	4376	4489	-	114		hypothetical protein	GV21	NA
GV21|SEQ00560	VBIGarVag274454_0561	Gardnerella vaginalis JCP7275	ATJS01000030	PATRIC	CDS	183967799	57	872	+	816		hypothetical protein	GV21	NA
GV21|SEQ00572	VBIGarVag274454_0573	Gardnerella vaginalis JCP7275	ATJS01000031	PATRIC	CDS	183967824	86	256	+	171		hypothetical protein	GV21	NA
GV21|SEQ00573	VBIGarVag274454_0574	Gardnerella vaginalis JCP7275	ATJS01000031	PATRIC	CDS	183967826	788	916	-	129		hypothetical protein	GV21	NA
GV21|SEQ00611	VBIGarVag274454_0612	Gardnerella vaginalis JCP7275	ATJS01000037	PATRIC	CDS	183967910	12931	13725	-	795		hypothetical protein	GV21	NA
GV21|SEQ00614	VBIGarVag274454_0615	Gardnerella vaginalis JCP7275	ATJS01000037	PATRIC	CDS	183967916	15998	16171	-	174		hypothetical protein	GV21	NA
GV21|SEQ00690	VBIGarVag274454_0691	Gardnerella vaginalis JCP7275	ATJS01000044	PATRIC	CDS	183968079	4513	4629	-	117		hypothetical protein	GV21	NA
GV21|SEQ00742	VBIGarVag274454_0743	Gardnerella vaginalis JCP7275	ATJS01000050	PATRIC	CDS	183968193	2128	2262	+	135		hypothetical protein	GV21	NA
GV21|SEQ00755	VBIGarVag274454_0756	Gardnerella vaginalis JCP7275	ATJS01000051	PATRIC	CDS	183968220	3084	3257	-	174		hypothetical protein	GV21	NA
GV21|SEQ00781	VBIGarVag274454_0782	Gardnerella vaginalis JCP7275	ATJS01000054	PATRIC	CDS	183968279	5825	5947	+	123		hypothetical protein	GV21	NA
GV21|SEQ00861	VBIGarVag274454_0862	Gardnerella vaginalis JCP7275	ATJS01000058	PATRIC	CDS	183968457	70316	70969	-	654		hypothetical protein	GV21	NA
GV21|SEQ00922	VBIGarVag274454_0923	Gardnerella vaginalis JCP7275	ATJS01000073	PATRIC	CDS	183968608	9443	9559	+	117		hypothetical protein	GV21	NA
GV21|SEQ00923	VBIGarVag274454_0924	Gardnerella vaginalis JCP7275	ATJS01000074	PATRIC	CDS	183968613	3774	3887	-	114		hypothetical protein	GV21	NA
GV21|SEQ00938	VBIGarVag274454_0939	Gardnerella vaginalis JCP7275	ATJS01000080	PATRIC	CDS	183968649	1045	1164	-	120		hypothetical protein	GV21	NA
GV21|SEQ00998	VBIGarVag274454_0999	Gardnerella vaginalis JCP7275	ATJS01000095	PATRIC	CDS	183968792	1106	1633	+	528		hypothetical protein	GV21	NA
GV21|SEQ01002	VBIGarVag274454_1003	Gardnerella vaginalis JCP7275	ATJS01000096	PATRIC	CDS	183968801	935	1051	+	117		hypothetical protein	GV21	NA
GV21|SEQ01007	VBIGarVag274454_1008	Gardnerella vaginalis JCP7275	ATJS01000098	PATRIC	CDS	183968813	1587	1700	-	114		hypothetical protein	GV21	NA
GV21|SEQ01012	VBIGarVag274454_1013	Gardnerella vaginalis JCP7275	ATJS01000099	PATRIC	CDS	183968826	257	436	-	180		hypothetical protein	GV21	NA
GV21|SEQ01015	VBIGarVag274454_1016	Gardnerella vaginalis JCP7275	ATJS01000099	PATRIC	CDS	183968836	4699	4839	-	141		hypothetical protein	GV21	NA
GV21|SEQ01016	VBIGarVag274454_1017	Gardnerella vaginalis JCP7275	ATJS01000100	PATRIC	CDS	183968839	236	352	-	117		hypothetical protein	GV21	NA
GV21|SEQ01019	VBIGarVag274454_1020	Gardnerella vaginalis JCP7275	ATJS01000101	PATRIC	CDS	183968846	1911	2042	-	132		hypothetical protein	GV21	NA
GV21|SEQ01022	VBIGarVag274454_1023	Gardnerella vaginalis JCP7275	ATJS01000103	PATRIC	CDS	183968854	13	150	+	138		FIG00672414: hypothetical protein	GV21	NA
GV21|SEQ01040	VBIGarVag274454_1041	Gardnerella vaginalis JCP7275	ATJS01000113	PATRIC	CDS	183968902	521	1195	-	675		hypothetical protein	GV21	NA
GV21|SEQ01047	VBIGarVag274454_1048	Gardnerella vaginalis JCP7275	ATJS01000114	PATRIC	CDS	183968917	7757	7885	-	129		hypothetical protein	GV21	NA
GV21|SEQ01105	VBIGarVag274454_1106	Gardnerella vaginalis JCP7275	ATJS01000141	PATRIC	CDS	183969060	307	783	+	477		hypothetical protein	GV21	NA
GV21|SEQ01113	VBIGarVag274454_1114	Gardnerella vaginalis JCP7275	ATJS01000144	PATRIC	CDS	183969081	693	827	+	135		hypothetical protein	GV21	NA
GV21|SEQ01144	VBIGarVag274454_1145	Gardnerella vaginalis JCP7275	ATJS01000159	PATRIC	CDS	183969158	2974	3186	-	213		hypothetical protein	GV21	NA
GV21|SEQ01158	VBIGarVag274454_1159	Gardnerella vaginalis JCP7275	ATJS01000165	PATRIC	CDS	183969192	710	1102	-	393		Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GV21	NA
GV21|SEQ01212	VBIGarVag274454_1213	Gardnerella vaginalis JCP7275	ATJS01000188	PATRIC	CDS	183969323	549	668	-	120		hypothetical protein	GV21	NA
GV21|SEQ01217	VBIGarVag274454_1218	Gardnerella vaginalis JCP7275	ATJS01000192	PATRIC	CDS	183969337	689	868	-	180		hypothetical protein	GV21	NA
GV21|SEQ01218	VBIGarVag274454_1219	Gardnerella vaginalis JCP7275	ATJS01000192	PATRIC	CDS	183969339	4914	5306	-	393		hypothetical protein	GV21	NA
GV21|SEQ01219	VBIGarVag274454_1220	Gardnerella vaginalis JCP7275	ATJS01000193	PATRIC	CDS	183969342	29	583	+	555		hypothetical protein	GV21	NA
