cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
ANI3|SEQ00030	42762324	VBIBifAni108068_0030	SEQ00030	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ANI3|SEQ00126	42762520	VBIBifAni108068_0126	SEQ00126	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ANI3|SEQ00276	42762826	VBIBifAni108068_0276	SEQ00276	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ANI3|SEQ00424	42763140	VBIBifAni108068_0424	SEQ00424	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG01769839	figfam	NA
ANI3|SEQ00800	42763920	VBIBifAni108068_0800	SEQ00800	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		CrcB protein	FIG00553898	figfam	NA
ANI3|SEQ00918	42764171	VBIBifAni108068_0918	SEQ00918	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ANI3|SEQ00959	42764253	VBIBifAni108068_0959	SEQ00959	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ANI3|SEQ01091	42764527	VBIBifAni108068_1091	SEQ01091	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		Permeases of the major facilitator superfamily	FIG00613966	figfam	NA
ANI3|SEQ01326	42765012	VBIBifAni108068_1326	SEQ01326	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ANI3|SEQ01397	42765154	VBIBifAni108068_1397	SEQ01397	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		CpsF	FIG00651922	figfam	NA
ANI3|SEQ01470	42765304	VBIBifAni108068_1470	SEQ01470	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
ANI3|SEQ01573	42765534	VBIBifAni108068_1574	SEQ01573	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
