cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
ADO1|SEQ00012	27186216	VBIBifAdo136061_0012	SEQ00012	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		Oligo-1,6-glucosidase (EC 3.2.1.10)	FIG00086220	figfam	clust_0011
ADO1|SEQ00022	27186236	VBIBifAdo136061_0022	SEQ00022	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		possible phospholipase/carboxylesterase	FIG00672495	figfam	clust_0623
ADO1|SEQ00051	27186294	VBIBifAdo136061_0051	SEQ00051	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		Maltodextrin glucosidase (EC 3.2.1.20)	FIG00001647	figfam	clust_0777
ADO1|SEQ00052	27186296	VBIBifAdo136061_0052	SEQ00052	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		Oligo-1,6-glucosidase (EC 3.2.1.10)	FIG00086220	figfam	clust_0011
ADO1|SEQ00055	27186302	VBIBifAdo136061_0055	SEQ00055	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS		Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	FIG00007586	figfam	clust_0031
ADO1|SEQ00112	27186440	VBIBifAdo136061_0112	SEQ00112	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		Allantoinase (EC 3.5.2.5)	FIG00002008	figfam	clust_2416
ADO1|SEQ00116	27186448	VBIBifAdo136061_0116	SEQ00116	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		possible transport protein	FIG00672023	figfam	clust_0694
ADO1|SEQ00117	27186450	VBIBifAdo136061_0117	SEQ00117	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		FIG00672402: hypothetical protein	FIG00672401	figfam	clust_0900
ADO1|SEQ00132	27186480	VBIBifAdo136061_0132	SEQ00132	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		FIG00424299: hypothetical protein	FIG00672408	figfam	clust_0615
ADO1|SEQ00133	27186482	VBIBifAdo136061_0133	SEQ00133	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		A/G-specific adenine glycosylase (EC 3.2.2.-)	FIG00000395	figfam	clust_1062
ADO1|SEQ00134	27186484	VBIBifAdo136061_0134	SEQ00134	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)	FIG00001105	figfam	clust_0614
ADO1|SEQ00139	27186494	VBIBifAdo136061_0139	SEQ00139	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		probable DeoR-type transcriptional regulator	FIG01329580	figfam	clust_0650
ADO1|SEQ00145	27186506	VBIBifAdo136061_0145	SEQ00145	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	clust_0836
ADO1|SEQ00149	27186514	VBIBifAdo136061_0149	SEQ00149	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		Protease II (EC 3.4.21.83)	FIG00614142	figfam	clust_0701
ADO1|SEQ00152	27186520	VBIBifAdo136061_0152	SEQ00152	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	clust_0833
ADO1|SEQ00175	27186566	VBIBifAdo136061_0175	SEQ00175	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	FIG00030688	figfam	clust_0580
ADO1|SEQ00231	27186700	VBIBifAdo136061_0231	SEQ00231	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		ATPase YjeE, predicted to have essential role in cell wall biosynthesis	FIG00000228	figfam	clust_0598
ADO1|SEQ00234	27186706	VBIBifAdo136061_0234	SEQ00234	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		putative DNA-binding protein	FIG01326599	figfam	clust_0688
ADO1|SEQ00241	27186722	VBIBifAdo136061_0241	SEQ00241	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		Iojap protein	FIG00135315	figfam	clust_0736
