cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	pathway_id	pathway_name	anno_type	ortho_id
GV01|SEQ00491	85495127	VBIGarVag247323_0491	SEQ00491	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
GV01|SEQ00491	85495127	VBIGarVag247323_0491	SEQ00491	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000005	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV02|SEQ00880	85498602	VBIGarVag242669_0880	SEQ00880	Gardnerella vaginalis 00703C2mash	GV02	Gardnerella vaginalis 00703C2mash	ADEU01000016	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
GV02|SEQ00880	85498602	VBIGarVag242669_0880	SEQ00880	Gardnerella vaginalis 00703C2mash	GV02	Gardnerella vaginalis 00703C2mash	ADEU01000016	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV03|SEQ00880	85501203	VBIGarVag247424_0880	SEQ00880	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000009	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
GV03|SEQ00880	85501203	VBIGarVag247424_0880	SEQ00880	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000009	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV04|SEQ01017	85481946	VBIGarVag246433_1017	SEQ01017	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
GV04|SEQ01017	85481946	VBIGarVag246433_1017	SEQ01017	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV05|SEQ00925	52547628	VBIGarVag174900_0925	SEQ00925	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV05|SEQ00925	52547628	VBIGarVag174900_0925	SEQ00925	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
GV06|SEQ01232	85491291	VBIGarVag244004_1232	SEQ01232	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000028	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
GV06|SEQ01232	85491291	VBIGarVag244004_1232	SEQ01232	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000028	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV07|SEQ00201	85491998	VBIGarVag249177_0201	SEQ00201	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000004	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
GV07|SEQ00201	85491998	VBIGarVag249177_0201	SEQ00201	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000004	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV08|SEQ00035	85474435	VBIGarVag251521_0035	SEQ00035	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000001	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	601	Glycosphingolipid biosynthesis - lacto and neolacto series	path	clust_0097
GV08|SEQ00035	85474435	VBIGarVag251521_0035	SEQ00035	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000001	PATRIC	CDS	NA	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	2.4.99.-	Transferring other glycosyl groups.	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_0097
