all_core	group_core_not_uniq	group_core_uniq	accessory	singleton	group_id	id_abbr
GV04	694	281	0	335	35	group1A	0288E
GV08	694	281	0	281	33	group1A	284V
GV09	694	281	0	288	43	group1A	315-A
GV16	694	281	0	301	21	group1A	75712
GV18	694	281	0	248	67	group1A	ATCC 14018
GV19	694	281	0	299	45	group1A	ATCC 14019
GV20	694	281	0	346	33	group1A	HMP9231
GV22	694	281	0	300	30	group1A	JCP7276
GV24	694	281	0	234	28	group1A	JCP7672
GV06	694	303	0	300	48	group1B	1400E
GV11	694	303	0	258	57	group1B	41V
GV13	694	303	0	251	49	group1B	55152
GV21	694	303	0	181	45	group1B	JCP7275
GV30	694	303	0	288	54	group1B	JCP8108
GV28	694	278	1	184	42	group2A	JCP8066
GV29	694	278	1	189	41	group2A	JCP8070
GV31	694	278	1	239	40	group2A	JCP8151A
GV32	694	278	1	242	55	group2A	JCP8151B
GV35	694	278	1	155	43	group2A	JCP8522
GV01	694	281	4	246	37	group2B	00703Bmash
GV02	694	281	4	207	46	group2B	00703C2mash
GV23	694	281	4	239	29	group2B	JCP7659
GV25	694	281	4	269	48	group2B	JCP7719
GV26	694	281	4	333	26	group2B	JCP8017A
GV27	694	281	4	327	21	group2B	JCP8017B
GV03	694	227	3	197	40	group3A	00703Dmash
GV05	694	227	3	225	29	group3A	101
GV07	694	227	3	183	75	group3A	1500E
GV14	694	227	3	195	51	group3A	6119V5
GV33	694	227	3	295	34	group3A	JCP8481A
GV34	694	227	3	295	19	group3A	JCP8481B
GV10	694	263	12	155	48	group3B	409-05
GV12	694	263	12	218	84	group3B	5-1
GV15	694	263	12	128	51	group3B	6420B
GV17	694	263	12	185	48	group3B	AMD
