cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
LON2|SEQ00025	42579543	VBIBifLon171405_0025	SEQ00025	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		Prokaryotic ubiquitin-like protein Pup	FIG00016412	figfam	NA
LON2|SEQ00043	42579579	VBIBifLon171405_0043	SEQ00043	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
LON2|SEQ00236	42579975	VBIBifLon171405_0237	SEQ00236	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		COG0738: Fucose permease	FIG01416253	figfam	NA
LON2|SEQ00338	42580179	VBIBifLon171405_0339	SEQ00338	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)	FIG00002081	figfam	NA
LON2|SEQ00348	42580199	VBIBifLon171405_0349	SEQ00348	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
LON2|SEQ00355	42580215	VBIBifLon171405_0356	SEQ00355	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
LON2|SEQ00356	42580217	VBIBifLon171405_0357	SEQ00356	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
LON2|SEQ00359	42580223	VBIBifLon171405_0360	SEQ00359	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		FIG00672247: hypothetical protein	FIG00672245	figfam	NA
LON2|SEQ00448	42580416	VBIBifLon171405_0449	SEQ00448	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		FIG00424250: hypothetical protein	FIG01616090	figfam	NA
LON2|SEQ00452	42580424	VBIBifLon171405_0453	SEQ00452	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		Sortase A, LPXTG specific	FIG00007328	figfam	NA
LON2|SEQ00455	42580430	VBIBifLon171405_0456	SEQ00455	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		DNA-binding response regulator KdpE	FIG00431356	figfam	NA
