cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
DEN1|SEQ00068	VBIBifDen165269_0068	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43461389	1407162	1407407	-	246		hypothetical protein	DEN1	NA
DEN1|SEQ00075	VBIBifDen165269_0075	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43461403	1416210	1416383	+	174		hypothetical protein	DEN1	NA
DEN1|SEQ00106	VBIBifDen165269_0106	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43461465	1449375	1449506	-	132		hypothetical protein	DEN1	NA
DEN1|SEQ00231	VBIBifDen165269_0232	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43461731	1597833	1597922	-	90		hypothetical protein	DEN1	NA
DEN1|SEQ00392	VBIBifDen165269_0393	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43462071	1771127	1771576	+	450	rpsP	SSU ribosomal protein S16p	DEN1	NA
DEN1|SEQ00424	VBIBifDen165269_0425	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43462135	1810401	1810520	+	120		hypothetical protein	DEN1	NA
DEN1|SEQ00518	VBIBifDen165269_0519	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43462330	1933902	1934477	-	576	eutL	hypothetical protein	DEN1	NA
DEN1|SEQ00584	VBIBifDen165269_0585	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43462462	2024875	2025000	+	126		hypothetical protein	DEN1	NA
DEN1|SEQ00889	VBIBifDen165269_0890	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43463086	2431560	2431691	+	132		hypothetical protein	DEN1	NA
DEN1|SEQ00961	VBIBifDen165269_0962	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43459045	101108	102460	+	1353		hypothetical protein	DEN1	NA
DEN1|SEQ01459	VBIBifDen165269_1460	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	43460050	729093	730136	+	1044		FIG00672247: hypothetical protein	DEN1	NA
