cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
GV04|SEQ00125	85480099	VBIGarVag246433_0125	SEQ00125	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV04|SEQ00222	85480298	VBIGarVag246433_0222	SEQ00222	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV04|SEQ00223	85480300	VBIGarVag246433_0223	SEQ00223	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV04|SEQ00383	85480641	VBIGarVag246433_0383	SEQ00383	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV06|SEQ00154	85489021	VBIGarVag244004_0154	SEQ00154	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV06|SEQ00155	85489023	VBIGarVag244004_0155	SEQ00155	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV06|SEQ00389	85489521	VBIGarVag244004_0389	SEQ00389	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000011	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV06|SEQ00721	85490232	VBIGarVag244004_0721	SEQ00721	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000020	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV08|SEQ00621	85475658	VBIGarVag251521_0621	SEQ00621	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000007	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV08|SEQ01019	85476483	VBIGarVag251521_1019	SEQ01019	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000011	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV08|SEQ01020	85476485	VBIGarVag251521_1020	SEQ01020	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000011	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV08|SEQ01231	85476925	VBIGarVag251521_1231	SEQ01231	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000011	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV09|SEQ00080	55259305	VBIGarVag169280_0080	SEQ00080	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV09|SEQ00081	55259307	VBIGarVag169280_0081	SEQ00081	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000003	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV09|SEQ01268	55261779	VBIGarVag169280_1268	SEQ01268	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000013	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV09|SEQ01317	55261887	VBIGarVag169280_1317	SEQ01317	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000013	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV11|SEQ00575	52549485	VBIGarVag171052_0575	SEQ00575	Gardnerella vaginalis 41V	GV11	Gardnerella vaginalis 41V	AEJE01000037	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV11|SEQ00712	52549773	VBIGarVag171052_0712	SEQ00712	Gardnerella vaginalis 41V	GV11	Gardnerella vaginalis 41V	AEJE01000044	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV11|SEQ00918	52550205	VBIGarVag171052_0918	SEQ00918	Gardnerella vaginalis 41V	GV11	Gardnerella vaginalis 41V	AEJE01000052	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV11|SEQ00919	52550207	VBIGarVag171052_0919	SEQ00919	Gardnerella vaginalis 41V	GV11	Gardnerella vaginalis 41V	AEJE01000052	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV13|SEQ00113	85486164	VBIGarVag244533_0113	SEQ00113	Gardnerella vaginalis 55152	GV13	Gardnerella vaginalis 55152	ADEQ01000002	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV13|SEQ00114	85486166	VBIGarVag244533_0114	SEQ00114	Gardnerella vaginalis 55152	GV13	Gardnerella vaginalis 55152	ADEQ01000002	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV13|SEQ00394	85486747	VBIGarVag244533_0394	SEQ00394	Gardnerella vaginalis 55152	GV13	Gardnerella vaginalis 55152	ADEQ01000005	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV13|SEQ01002	85488020	VBIGarVag244533_1002	SEQ01002	Gardnerella vaginalis 55152	GV13	Gardnerella vaginalis 55152	ADEQ01000015	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV16|SEQ00188	85477492	VBIGarVag246379_0188	SEQ00188	Gardnerella vaginalis 75712	GV16	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV16|SEQ00189	85477494	VBIGarVag246379_0189	SEQ00189	Gardnerella vaginalis 75712	GV16	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV16|SEQ00386	85477906	VBIGarVag246379_0386	SEQ00386	Gardnerella vaginalis 75712	GV16	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV16|SEQ00449	85478042	VBIGarVag246379_0449	SEQ00449	Gardnerella vaginalis 75712	GV16	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV18|SEQ00011	42068658	VBIGarVag4823_0011	SEQ00011	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000014	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV18|SEQ00296	42069303	VBIGarVag4823_0296	SEQ00296	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000082	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV18|SEQ00297	42069305	VBIGarVag4823_0297	SEQ00297	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000082	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV18|SEQ00613	42069988	VBIGarVag4823_0613	SEQ00613	Gardnerella vaginalis ATCC 14018 = JCM 11026	GV18	Gardnerella vaginalis ATCC 14018 = JCM 11026	NZ_ADNB01000115	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV19|SEQ00097	42627030	VBIGarVag39333_0097	SEQ00097	Gardnerella vaginalis ATCC 14019	GV19	Gardnerella vaginalis ATCC 14019	NC_014644	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV19|SEQ00098	42627032	VBIGarVag39333_0098	SEQ00098	Gardnerella vaginalis ATCC 14019	GV19	Gardnerella vaginalis ATCC 14019	NC_014644	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV19|SEQ01161	42629235	VBIGarVag39333_1163	SEQ01161	Gardnerella vaginalis ATCC 14019	GV19	Gardnerella vaginalis ATCC 14019	NC_014644	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV19|SEQ01223	42629369	VBIGarVag39333_1225	SEQ01223	Gardnerella vaginalis ATCC 14019	GV19	Gardnerella vaginalis ATCC 14019	NC_014644	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV20|SEQ00271	54189343	VBIGarVag188338_0271	SEQ00271	Gardnerella vaginalis HMP9231	GV20	Gardnerella vaginalis HMP9231	CP002725	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV20|SEQ00347	54189505	VBIGarVag188338_0347	SEQ00347	Gardnerella vaginalis HMP9231	GV20	Gardnerella vaginalis HMP9231	CP002725	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV20|SEQ01353	54191584	VBIGarVag188338_1353	SEQ01353	Gardnerella vaginalis HMP9231	GV20	Gardnerella vaginalis HMP9231	CP002725	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV20|SEQ01354	54191586	VBIGarVag188338_1354	SEQ01354	Gardnerella vaginalis HMP9231	GV20	Gardnerella vaginalis HMP9231	CP002725	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV21|SEQ00351	183967358	VBIGarVag274454_0351	SEQ00351	Gardnerella vaginalis JCP7275	GV21	Gardnerella vaginalis JCP7275	ATJS01000013	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV21|SEQ00383	183967426	VBIGarVag274454_0383	SEQ00383	Gardnerella vaginalis JCP7275	GV21	Gardnerella vaginalis JCP7275	ATJS01000017	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV21|SEQ00384	183967428	VBIGarVag274454_0384	SEQ00384	Gardnerella vaginalis JCP7275	GV21	Gardnerella vaginalis JCP7275	ATJS01000017	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV21|SEQ00768	183968252	VBIGarVag274454_0769	SEQ00768	Gardnerella vaginalis JCP7275	GV21	Gardnerella vaginalis JCP7275	ATJS01000053	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV22|SEQ00185	183969763	VBIGarVag276801_0185	SEQ00185	Gardnerella vaginalis JCP7276	GV22	Gardnerella vaginalis JCP7276	ATJR01000003	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV22|SEQ00239	183969891	VBIGarVag276801_0240	SEQ00239	Gardnerella vaginalis JCP7276	GV22	Gardnerella vaginalis JCP7276	ATJR01000007	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV22|SEQ00240	183969893	VBIGarVag276801_0241	SEQ00240	Gardnerella vaginalis JCP7276	GV22	Gardnerella vaginalis JCP7276	ATJR01000007	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV22|SEQ00598	183970633	VBIGarVag276801_0599	SEQ00598	Gardnerella vaginalis JCP7276	GV22	Gardnerella vaginalis JCP7276	ATJR01000019	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV24|SEQ00029	183975150	VBIGarVag268944_0030	SEQ00029	Gardnerella vaginalis JCP7672	GV24	Gardnerella vaginalis JCP7672	ATJP01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_1141
GV24|SEQ00030	183975152	VBIGarVag268944_0031	SEQ00030	Gardnerella vaginalis JCP7672	GV24	Gardnerella vaginalis JCP7672	ATJP01000003	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
GV24|SEQ00471	183976077	VBIGarVag268944_0472	SEQ00471	Gardnerella vaginalis JCP7672	GV24	Gardnerella vaginalis JCP7672	ATJP01000023	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	GO:0004335	galactokinase activity	go	clust_1148
GV24|SEQ00546	183976240	VBIGarVag268944_0547	SEQ00546	Gardnerella vaginalis JCP7672	GV24	Gardnerella vaginalis JCP7672	ATJP01000029	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV30|SEQ00011	183992058	VBIGarVag267667_0011	SEQ00011	Gardnerella vaginalis JCP8108	GV30	Gardnerella vaginalis JCP8108	ATJJ01000001	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	GO:0004856	xylulokinase activity	go	clust_1147
GV30|SEQ00698	183993525	VBIGarVag267667_0699	SEQ00698	Gardnerella vaginalis JCP8108	GV30	Gardnerella vaginalis JCP8108	ATJJ01000043	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_1140
