"short_id"	"genome_name"	"accession"	"annotation"	"feature_type"	"na_feature_id"	"locus_tag"	"gene"	"product"	"ec_number"	"ec_name"	"figfam_id"	"go_id"	"go_term"	"pathway_id"	"pathway_name"	"ortho_id"
"fid|32146474|locus|VBIGarVag136958_0222"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32146474	"VBIGarVag136958_0222"	NA	"FIG00672145: hypothetical protein"	NA	NA	"FIG00672143"	NA	NA	NA	NA	"clust_1377"
"fid|32147186|locus|VBIGarVag136958_0564"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32147186	"VBIGarVag136958_0564"	NA	"FIG00672568: hypothetical protein"	NA	NA	"FIG00672567"	NA	NA	NA	NA	"clust_1381"
"fid|32148184|locus|VBIGarVag136958_1048"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148184	"VBIGarVag136958_1048"	NA	"FIG00672299: hypothetical protein"	NA	NA	"FIG01853939"	NA	NA	NA	NA	"clust_1372"
"fid|32148326|locus|VBIGarVag136958_1114"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148326	"VBIGarVag136958_1114"	NA	"Putative integral membrane protein"	NA	NA	"FIG00732228"	NA	NA	NA	NA	"clust_1360"
"fid|32148328|locus|VBIGarVag136958_1115"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148328	"VBIGarVag136958_1115"	NA	"FIG00672124: hypothetical protein"	NA	NA	"FIG00672121"	NA	NA	NA	NA	"clust_1361"
"fid|32148330|locus|VBIGarVag136958_1116"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148330	"VBIGarVag136958_1116"	NA	"Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)"	"2.7.1.-"	"Phosphotransferases with an alcohol group as acceptor."	"FIG00005464"	NA	NA	540	"Lipopolysaccharide biosynthesis"	"clust_1362"
"fid|32148330|locus|VBIGarVag136958_1116"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148330	"VBIGarVag136958_1116"	NA	"Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)"	"2.7.1.-"	"Phosphotransferases with an alcohol group as acceptor."	"FIG00005464"	NA	NA	900	"Terpenoid backbone biosynthesis"	"clust_1362"
"fid|32148332|locus|VBIGarVag136958_1117"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148332	"VBIGarVag136958_1117"	NA	"Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	"2.7.3.9"	"Phosphoenolpyruvate--protein phosphotransferase"	"FIG00028694"	"GO:0008965"	"phosphoenolpyruvate-protein phosphotransferase activity"	NA	NA	"clust_1363"
"fid|32148334|locus|VBIGarVag136958_1118"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148334	"VBIGarVag136958_1118"	NA	"Phosphocarrier protein of PTS system"	NA	NA	"FIG01954533"	"GO:0005351"	"sugar:hydrogen ion symporter activity"	NA	NA	"clust_1364"
"fid|32148334|locus|VBIGarVag136958_1118"	"Gardnerella vaginalis 409-05"	"NC_013721"	"PATRIC"	"CDS"	32148334	"VBIGarVag136958_1118"	NA	"Phosphocarrier protein of PTS system"	NA	NA	"FIG01954533"	"GO:0009401"	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	NA	NA	"clust_1364"
