cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV03|SEQ00473	clust_1526	VBIGarVag247424_0473	Gardnerella vaginalis 00703Dmash	ADEV01000007	PATRIC	CDS	85500353	8337	9284	+	948		"Alpha/beta hydrolase fold "	GV03
GV03|SEQ00901	clust_1521	VBIGarVag247424_0901	Gardnerella vaginalis 00703Dmash	ADEV01000009	PATRIC	CDS	85501245	237420	237917	-	498		hypothetical protein	GV03
GV03|SEQ00902	clust_1520	VBIGarVag247424_0902	Gardnerella vaginalis 00703Dmash	ADEV01000009	PATRIC	CDS	85501247	238056	239162	-	1107		hypothetical protein	GV03
GV05|SEQ00499	clust_1526	VBIGarVag174900_0499	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52546742	69877	70824	+	948		alpha/beta hydrolase fold	GV05
GV05|SEQ00948	clust_1521	VBIGarVag174900_0948	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52547674	650636	651133	-	498		hypothetical protein	GV05
GV05|SEQ00949	clust_1520	VBIGarVag174900_0949	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	52547676	651272	652378	-	1107		hypothetical protein	GV05
GV07|SEQ00526	clust_1520	VBIGarVag249177_0526	Gardnerella vaginalis 1500E	ADES01000010	PATRIC	CDS	85492693	8228	9334	+	1107		hypothetical protein	GV07
GV07|SEQ00527	clust_1521	VBIGarVag249177_0527	Gardnerella vaginalis 1500E	ADES01000010	PATRIC	CDS	85492695	9473	9970	+	498		hypothetical protein	GV07
GV07|SEQ00912	clust_1526	VBIGarVag249177_0912	Gardnerella vaginalis 1500E	ADES01000014	PATRIC	CDS	85493495	208119	209066	-	948		"Alpha/beta hydrolase fold "	GV07
GV14|SEQ00056	clust_1526	VBIGarVag244375_0056	Gardnerella vaginalis 6119V5	ADEW01000002	PATRIC	CDS	85501928	46760	47719	-	960		"Alpha/beta hydrolase fold "	GV14
GV14|SEQ00998	clust_1521	VBIGarVag244375_0998	Gardnerella vaginalis 6119V5	ADEW01000011	PATRIC	CDS	85503904	57201	57698	+	498		hypothetical protein	GV14
GV14|SEQ01002	clust_1520	VBIGarVag244375_1002	Gardnerella vaginalis 6119V5	ADEW01000011	PATRIC	CDS	85503912	61994	63100	-	1107		hypothetical protein	GV14
GV33|SEQ00181	clust_1520	VBIGarVag265557_0181	Gardnerella vaginalis JCP8481A	ATJG01000015	PATRIC	CDS	184001051	3247	4218	-	972		hypothetical protein	GV33
GV33|SEQ00483	clust_1526	VBIGarVag265557_0483	Gardnerella vaginalis JCP8481A	ATJG01000045	PATRIC	CDS	184001702	1886	2815	+	930		alpha/beta hydrolase fold	GV33
GV33|SEQ00810	clust_1521	VBIGarVag265557_0810	Gardnerella vaginalis JCP8481A	ATJG01000087	PATRIC	CDS	184002415	191	691	-	501		hypothetical protein	GV33
GV34|SEQ00174	clust_1521	VBIGarVag270440_0174	Gardnerella vaginalis JCP8481B	ATJF01000010	PATRIC	CDS	184003859	69238	69738	+	501		hypothetical protein	GV34
GV34|SEQ00177	clust_1520	VBIGarVag270440_0177	Gardnerella vaginalis JCP8481B	ATJF01000011	PATRIC	CDS	184003866	3316	4422	-	1107		hypothetical protein	GV34
GV34|SEQ00630	clust_1526	VBIGarVag270440_0630	Gardnerella vaginalis JCP8481B	ATJF01000063	PATRIC	CDS	184004865	1830	2759	+	930		alpha/beta hydrolase fold	GV34
