cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
GV03|SEQ00049	85499461	VBIGarVag247424_0049	SEQ00049	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000003	PATRIC	CDS	NA	FIG00672299: hypothetical protein	FIG01853939	figfam	clust_1372
GV03|SEQ00344	85500088	VBIGarVag247424_0344	SEQ00344	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000004	PATRIC	CDS	NA	FIG00672145: hypothetical protein	FIG00672143	figfam	clust_1377
GV03|SEQ00409	85500223	VBIGarVag247424_0409	SEQ00409	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	Putative integral membrane protein	FIG00732228	figfam	clust_1360
GV03|SEQ00410	85500225	VBIGarVag247424_0410	SEQ00410	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	FIG00672124: hypothetical protein	FIG00672121	figfam	clust_1361
GV03|SEQ00411	85500227	VBIGarVag247424_0411	SEQ00411	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	FIG00005464	figfam	clust_1362
GV03|SEQ00412	85500229	VBIGarVag247424_0412	SEQ00412	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	FIG00028694	figfam	clust_1363
GV03|SEQ00413	85500231	VBIGarVag247424_0413	SEQ00413	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	Phosphocarrier protein of PTS system	FIG01954533	figfam	clust_1364
GV03|SEQ00414	85500233	VBIGarVag247424_0414	SEQ00414	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000006	PATRIC	CDS	NA	Galactose operon repressor, GalR-LacI family of transcriptional regulators	FIG00003129	figfam	clust_1365
GV03|SEQ00764	85500959	VBIGarVag247424_0764	SEQ00764	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000009	PATRIC	CDS	NA	FIG00672568: hypothetical protein	FIG00672567	figfam	clust_1381
GV05|SEQ00164	52546037	VBIGarVag174900_0164	SEQ00164	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	Galactose operon repressor, GalR-LacI family of transcriptional regulators	FIG00003129	figfam	clust_1365
GV05|SEQ00165	52546039	VBIGarVag174900_0165	SEQ00165	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	Phosphocarrier protein of PTS system	FIG01954533	figfam	clust_1364
GV05|SEQ00166	52546041	VBIGarVag174900_0166	SEQ00166	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	FIG00028694	figfam	clust_1363
GV05|SEQ00167	52546043	VBIGarVag174900_0167	SEQ00167	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	FIG00005464	figfam	clust_1362
GV05|SEQ00168	52546045	VBIGarVag174900_0168	SEQ00168	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	FIG00672124: hypothetical protein	FIG00672121	figfam	clust_1361
GV05|SEQ00169	52546047	VBIGarVag174900_0169	SEQ00169	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000004	PATRIC	CDS	NA	Putative integral membrane protein	FIG00732228	figfam	clust_1360
GV05|SEQ00444	52546628	VBIGarVag174900_0444	SEQ00444	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	NA	FIG00672145: hypothetical protein	FIG00672143	figfam	clust_1377
GV05|SEQ00817	52547400	VBIGarVag174900_0817	SEQ00817	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000006	PATRIC	CDS	NA	FIG00672568: hypothetical protein	FIG00672567	figfam	clust_1381
GV05|SEQ01104	52547996	VBIGarVag174900_1104	SEQ01104	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000007	PATRIC	CDS	NA	FIG00672299: hypothetical protein	FIG01853939	figfam	clust_1372
GV07|SEQ00576	85492801	VBIGarVag249177_0576	SEQ00576	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000011	PATRIC	CDS	NA	FIG00672568: hypothetical protein	FIG00672567	figfam	clust_1381
GV07|SEQ00960	85493594	VBIGarVag249177_0960	SEQ00960	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000014	PATRIC	CDS	NA	FIG00672145: hypothetical protein	FIG00672143	figfam	clust_1377
