cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
DEN1|SEQ00211	43461689	VBIBifDen165269_0212	SEQ00211	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Homoserine kinase (EC 2.7.1.39)	GO:0004413	homoserine kinase activity	go	clust_4723
DEN1|SEQ00360	43462003	VBIBifDen165269_0361	SEQ00360	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GO:0003723	RNA binding	go	clust_4732
DEN1|SEQ00446	43462184	VBIBifDen165269_0447	SEQ00446	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity	go	clust_4742
DEN1|SEQ00473	43462238	VBIBifDen165269_0474	SEQ00473	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	GO:0004557	alpha-galactosidase activity	go	clust_4745
DEN1|SEQ00478	43462248	VBIBifDen165269_0479	SEQ00478	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_2995
DEN1|SEQ00481	43462254	VBIBifDen165269_0482	SEQ00481	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	GO:0008422	beta-glucosidase activity	go	clust_4749
DEN1|SEQ00493	43462278	VBIBifDen165269_0494	SEQ00493	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	GO:0008422	beta-glucosidase activity	go	clust_4752
DEN1|SEQ00528	43462350	VBIBifDen165269_0529	SEQ00528	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Ribose operon repressor	GO:0003700	transcription factor activity	go	clust_4755
DEN1|SEQ00528	43462350	VBIBifDen165269_0529	SEQ00528	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Ribose operon repressor	GO:0005622	intracellular	go	clust_4755
DEN1|SEQ00563	43462420	VBIBifDen165269_0564	SEQ00563	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Alpha-galactosidase (EC 3.2.1.22)	GO:0004557	alpha-galactosidase activity	go	clust_4757
DEN1|SEQ00572	43462438	VBIBifDen165269_0573	SEQ00572	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Multiple sugar ABC transporter, substrate-binding protein	GO:0006810	transport	go	clust_4761
DEN1|SEQ00572	43462438	VBIBifDen165269_0573	SEQ00572	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Multiple sugar ABC transporter, substrate-binding protein	GO:0005215	transporter activity	go	clust_4761
DEN1|SEQ00583	43462460	VBIBifDen165269_0584	SEQ00583	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	GO:0016020	membrane	go	clust_4764
DEN1|SEQ00583	43462460	VBIBifDen165269_0584	SEQ00583	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	GO:0005215	transporter activity	go	clust_4764
DEN1|SEQ00583	43462460	VBIBifDen165269_0584	SEQ00583	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Multiple sugar ABC transporter, membrane-spanning permease protein MsmF	GO:0006810	transport	go	clust_4764
DEN1|SEQ00586	43462466	VBIBifDen165269_0587	SEQ00586	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Neopullulanase (EC 3.2.1.135)	GO:0031216	neopullulanase activity	go	clust_4766
DEN1|SEQ00676	43462656	VBIBifDen165269_0677	SEQ00676	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	D-arabino-3-hexulose 6-phosphate formaldehyde lyase	GO:0006207	'de novo' pyrimidine base biosynthetic process	go	clust_4784
DEN1|SEQ00676	43462656	VBIBifDen165269_0677	SEQ00676	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	D-arabino-3-hexulose 6-phosphate formaldehyde lyase	GO:0004590	orotidine-5'-phosphate decarboxylase activity	go	clust_4784
DEN1|SEQ00677	43462658	VBIBifDen165269_0678	SEQ00677	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	GO:0008673	2-dehydro-3-deoxygluconokinase activity	go	clust_4785
DEN1|SEQ00758	43462822	VBIBifDen165269_0759	SEQ00758	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	GO:0008422	beta-glucosidase activity	go	clust_4795
DEN1|SEQ00760	43462826	VBIBifDen165269_0761	SEQ00760	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	clust_2995
DEN1|SEQ00825	43462958	VBIBifDen165269_0826	SEQ00825	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Alpha-L-fucosidase (EC 3.2.1.51)	GO:0004560	alpha-L-fucosidase activity	go	clust_4806
DEN1|SEQ00829	43462966	VBIBifDen165269_0830	SEQ00829	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	GO:0031176	endo-1,4-beta-xylanase activity	go	clust_4808
DEN1|SEQ00830	43462968	VBIBifDen165269_0831	SEQ00830	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	GO:0031176	endo-1,4-beta-xylanase activity	go	clust_4809
DEN1|SEQ00831	43462970	VBIBifDen165269_0832	SEQ00831	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-xylosidase (EC 3.2.1.37)	GO:0009044	xylan 1,4-beta-xylosidase activity	go	clust_4810
DEN1|SEQ00966	43459055	VBIBifDen165269_0967	SEQ00966	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Maltose O-acetyltransferase (EC 2.3.1.79)	GO:0008925	maltose O-acetyltransferase activity	go	clust_4842
DEN1|SEQ00977	43459077	VBIBifDen165269_0978	SEQ00977	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	OsmC/Ohr family protein	GO:0006950	response to stress	go	clust_4848
DEN1|SEQ01002	43459127	VBIBifDen165269_1003	SEQ01002	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	D-allose kinase (EC 2.7.1.55)	GO:0008787	allose kinase activity	go	clust_4853
DEN1|SEQ01041	43459205	VBIBifDen165269_1042	SEQ01041	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	GO:0031176	endo-1,4-beta-xylanase activity	go	clust_4864
DEN1|SEQ01043	43459209	VBIBifDen165269_1044	SEQ01043	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	GO:0008422	beta-glucosidase activity	go	clust_4866
DEN1|SEQ01055	43459233	VBIBifDen165269_1056	SEQ01055	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	GO:0008422	beta-glucosidase activity	go	clust_4870
DEN1|SEQ01056	43459235	VBIBifDen165269_1057	SEQ01056	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Beta-glucosidase (EC 3.2.1.21)	GO:0008422	beta-glucosidase activity	go	clust_4871
