cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV33|SEQ00011	VBIGarVag265557_0011	Gardnerella vaginalis JCP8481A	ATJG01000002	PATRIC	CDS	184000678	2143	2295	+	153		hypothetical protein	GV33	clust_2129
GV33|SEQ00013	VBIGarVag265557_0013	Gardnerella vaginalis JCP8481A	ATJG01000003	PATRIC	CDS	184000683	79	387	-	309		hypothetical protein	GV33	clust_2130
GV33|SEQ00014	VBIGarVag265557_0014	Gardnerella vaginalis JCP8481A	ATJG01000003	PATRIC	CDS	184000685	438	725	-	288		hypothetical protein	GV33	clust_2131
GV33|SEQ00016	VBIGarVag265557_0016	Gardnerella vaginalis JCP8481A	ATJG01000003	PATRIC	CDS	184000689	2873	3322	-	450		hypothetical protein	GV33	clust_2132
GV33|SEQ00018	VBIGarVag265557_0018	Gardnerella vaginalis JCP8481A	ATJG01000004	PATRIC	CDS	184000694	172	753	+	582		hypothetical protein	GV33	clust_2133
GV33|SEQ00063	VBIGarVag265557_0063	Gardnerella vaginalis JCP8481A	ATJG01000006	PATRIC	CDS	184000786	1765	1908	-	144		hypothetical protein	GV33	clust_2134
GV33|SEQ00070	VBIGarVag265557_0070	Gardnerella vaginalis JCP8481A	ATJG01000006	PATRIC	CDS	184000802	10719	10850	+	132		hypothetical protein	GV33	clust_2135
GV33|SEQ00078	VBIGarVag265557_0078	Gardnerella vaginalis JCP8481A	ATJG01000007	PATRIC	CDS	184000819	9439	9729	-	291		hypothetical protein	GV33	clust_2136
GV33|SEQ00087	VBIGarVag265557_0087	Gardnerella vaginalis JCP8481A	ATJG01000008	PATRIC	CDS	184000846	431	1027	+	597		hypothetical protein	GV33	clust_2137
GV33|SEQ00130	VBIGarVag265557_0130	Gardnerella vaginalis JCP8481A	ATJG01000011	PATRIC	CDS	184000939	111	242	+	132		hypothetical protein	GV33	clust_2138
GV33|SEQ00134	VBIGarVag265557_0134	Gardnerella vaginalis JCP8481A	ATJG01000011	PATRIC	CDS	184000947	5653	5781	-	129		hypothetical protein	GV33	clust_2139
