cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
GV31|SEQ00209	183995458	VBIGarVag264983_0209	SEQ00209	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000010	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0009306	protein secretion	go	NA
GV31|SEQ00209	183995458	VBIGarVag264983_0209	SEQ00209	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000010	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	go	NA
GV31|SEQ00209	183995458	VBIGarVag264983_0209	SEQ00209	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000010	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0016021	integral to membrane	go	NA
GV31|SEQ00233	183995507	VBIGarVag264983_0233	SEQ00233	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000011	PATRIC	CDS	NA	Hydrogen peroxide-inducible genes activator	GO:0003700	transcription factor activity	go	NA
GV31|SEQ00787	183996693	VBIGarVag264983_0787	SEQ00787	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000043	PATRIC	CDS	NA	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	GO:0004654	polyribonucleotide nucleotidyltransferase activity	go	NA
GV31|SEQ01153	183997540	VBIGarVag264983_1153	SEQ01153	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000134	PATRIC	CDS	NA	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	go	NA
GV31|SEQ01153	183997540	VBIGarVag264983_1153	SEQ01153	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000134	PATRIC	CDS	NA	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	GO:0003723	RNA binding	go	NA
GV31|SEQ01153	183997540	VBIGarVag264983_1153	SEQ01153	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000134	PATRIC	CDS	NA	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	GO:0016020	membrane	go	NA
GV31|SEQ01153	183997540	VBIGarVag264983_1153	SEQ01153	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000134	PATRIC	CDS	NA	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	GO:0005525	GTP binding	go	NA
GV31|SEQ01153	183997540	VBIGarVag264983_1153	SEQ01153	Gardnerella vaginalis JCP8151A	GV31	Gardnerella vaginalis JCP8151A	ATJI01000134	PATRIC	CDS	NA	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	GO:0006605	protein targeting	go	NA
