cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	anno_type	ortho_id
ADO1|SEQ00012	27186216	VBIBifAdo136061_0012	SEQ00012	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Oligo-1,6-glucosidase (EC 3.2.1.10)	3.2.1.10	Oligo-1,6-glucosidase	ec	clust_0011
ADO1|SEQ00051	27186294	VBIBifAdo136061_0051	SEQ00051	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Maltodextrin glucosidase (EC 3.2.1.20)	3.2.1.20	Alpha-glucosidase	ec	clust_0777
ADO1|SEQ00052	27186296	VBIBifAdo136061_0052	SEQ00052	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	NA	Oligo-1,6-glucosidase (EC 3.2.1.10)	3.2.1.10	Oligo-1,6-glucosidase	ec	clust_0011
ADO1|SEQ00112	27186440	VBIBifAdo136061_0112	SEQ00112	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	3.5.2.5	Allantoinase	ec	clust_2416
ADO1|SEQ00133	27186482	VBIBifAdo136061_0133	SEQ00133	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	A/G-specific adenine glycosylase (EC 3.2.2.-)	3.2.2.-	Hydrolyzing N-glycosyl compounds.	ec	clust_1062
ADO1|SEQ00134	27186484	VBIBifAdo136061_0134	SEQ00134	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	ec	clust_0614
ADO1|SEQ00149	27186514	VBIBifAdo136061_0149	SEQ00149	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	Protease II (EC 3.4.21.83)	3.4.21.83	Oligopeptidase B	ec	clust_0701
ADO1|SEQ00175	27186566	VBIBifAdo136061_0175	SEQ00175	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264436	PATRIC	CDS	NA	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	4.2.1.46	dTDP-glucose 4,6-dehydratase	ec	clust_0580
ADO1|SEQ00242	27186724	VBIBifAdo136061_0242	SEQ00242	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	2.3.1.157	Glucosamine-1-phosphate N-acetyltransferase	ec	clust_0600
ADO1|SEQ00242	27186724	VBIBifAdo136061_0242	SEQ00242	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	2.7.7.23	UDP-N-acetylglucosamine diphosphorylase	ec	clust_0600
ADO1|SEQ00344	27186946	VBIBifAdo136061_0344	SEQ00344	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	tRNA-guanine transglycosylase (EC 2.4.2.29)	2.4.2.29	tRNA-guanine(34) transglycosylase	ec	clust_0787
