cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
GV10|SEQ00673	32147414	VBIGarVag136958_0673	SEQ00673	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	GO:0047652	allantoate deiminase activity	go	clust_1669
GV10|SEQ00675	32147418	VBIGarVag136958_0675	SEQ00675	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	GO:0004038	allantoinase activity	go	clust_1671
GV10|SEQ00676	32147420	VBIGarVag136958_0676	SEQ00676	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Sulfur carrier protein ThiS	GO:0006790	sulfur metabolic process	go	clust_1672
GV10|SEQ00677	32147422	VBIGarVag136958_0677	SEQ00677	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Sulfur carrier protein adenylyltransferase ThiF	GO:0003824	catalytic activity	go	clust_1673
GV10|SEQ00678	32147424	VBIGarVag136958_0678	SEQ00678	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Thiazole biosynthesis protein ThiG	GO:0009228	thiamin biosynthetic process	go	clust_1674
GV10|SEQ00836	32147746	VBIGarVag136958_0836	SEQ00836	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Translation initiation factor 2	GO:0003743	translation initiation factor activity	go	clust_1753
GV10|SEQ00836	32147746	VBIGarVag136958_0836	SEQ00836	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Translation initiation factor 2	GO:0006413	translational initiation	go	clust_1753
GV10|SEQ00836	32147746	VBIGarVag136958_0836	SEQ00836	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Translation initiation factor 2	GO:0005525	GTP binding	go	clust_1753
GV10|SEQ00836	32147746	VBIGarVag136958_0836	SEQ00836	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Translation initiation factor 2	GO:0006412	translation	go	clust_1753
GV10|SEQ01078	32148248	VBIGarVag136958_1078	SEQ01078	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GO:0003723	RNA binding	go	clust_1681
