cds_id	ortho_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short
GV01|SEQ00010	clust_0867	VBIGarVag247323_0010	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494112	11030	11911	+	882		1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	GV01
GV01|SEQ00014	clust_0750	VBIGarVag247323_0014	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494120	15590	16972	+	1383		Homoserine dehydrogenase (EC 1.1.1.3)	GV01
GV01|SEQ00026	clust_0824	VBIGarVag247323_0026	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494144	28763	30427	+	1665	obgE	COG0536: GTP-binding protein Obg	GV01
GV01|SEQ00031	clust_0823	VBIGarVag247323_0031	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494156	34501	35415	+	915		Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor	GV01
GV01|SEQ00036	clust_0746	VBIGarVag247323_0036	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494166	50542	51060	+	519		Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	GV01
GV01|SEQ00037	clust_0967	VBIGarVag247323_0037	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494170	51366	53444	+	2079		FIG00672237: hypothetical protein	GV01
GV01|SEQ00038	clust_0991	VBIGarVag247323_0038	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494172	53559	54458	-	900		Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	GV01
GV01|SEQ00039	clust_0990	VBIGarVag247323_0039	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494174	54473	55915	-	1443		dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) / dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	GV01
GV01|SEQ00040	clust_0865	VBIGarVag247323_0040	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494176	56034	57068	-	1035		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	GV01
GV01|SEQ00042	clust_0959	VBIGarVag247323_0042	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494180	57949	58812	-	864		O-antigen export system permease protein	GV01
GV01|SEQ00043	clust_0989	VBIGarVag247323_0043	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494182	58990	59832	+	843		UDP-glucose 4-epimerase (EC 5.1.3.2)	GV01
GV01|SEQ00046	clust_0988	VBIGarVag247323_0046	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494188	62785	64107	+	1323		putative LPS biosynthesis related glycosyltransferase	GV01
GV01|SEQ00047	clust_0987	VBIGarVag247323_0047	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494190	64196	66139	+	1944		Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	GV01
GV01|SEQ00048	clust_0943	VBIGarVag247323_0048	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494192	66132	67283	+	1152		FIG00425976: hypothetical protein	GV01
GV01|SEQ00049	clust_0986	VBIGarVag247323_0049	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494194	67285	68196	+	912		dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	GV01
GV01|SEQ00050	clust_0985	VBIGarVag247323_0050	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494196	68207	69343	+	1137		Glycosyltransferase (EC 2.4.1.-)	GV01
GV01|SEQ00051	clust_0822	VBIGarVag247323_0051	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494198	69409	70650	+	1242		UDP-galactopyranose mutase (EC 5.4.99.9)	GV01
GV01|SEQ00060	clust_0743	VBIGarVag247323_0060	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494218	82502	83260	+	759		FIG00672025: hypothetical protein	GV01
GV01|SEQ00065	clust_0820	VBIGarVag247323_0065	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494228	93988	95379	-	1392		possible transport protein	GV01
GV01|SEQ00092	clust_0819	VBIGarVag247323_0092	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494284	121287	122165	+	879		ABC-type multidrug transport system, ATPase component	GV01
GV01|SEQ00099	clust_0818	VBIGarVag247323_0099	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494298	131577	133253	+	1677		ABC transporter ATP-binding protein	GV01
GV01|SEQ00101	clust_0984	VBIGarVag247323_0101	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494302	133474	134529	+	1056		Peptidoglycan interpeptide bridge formation enzyme	GV01
GV01|SEQ00110	clust_0261	VBIGarVag247323_0110	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494320	149767	152055	+	2289		ABC transporter, ATP-binding/permease protein	GV01
GV01|SEQ00123	clust_0983	VBIGarVag247323_0123	Gardnerella vaginalis 00703Bmash	ADET01000001	PATRIC	CDS	85494352	166115	166894	+	780		Cell division protein MraZ	GV01
GV01|SEQ00142	clust_0973	VBIGarVag247323_0142	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494391	2408	2806	+	399		FIG00671937: hypothetical protein	GV01
GV01|SEQ00153	clust_0878	VBIGarVag247323_0153	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494413	15720	16274	-	555		LemA PROTEIN	GV01
GV01|SEQ00154	clust_0877	VBIGarVag247323_0154	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494415	16382	17368	-	987		FIG00672445: hypothetical protein	GV01
GV01|SEQ00155	clust_0972	VBIGarVag247323_0155	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494417	17748	18347	+	600		Substrate-specific component STY3230 of queuosine-regulated ECF transporter	GV01
GV01|SEQ00156	clust_0971	VBIGarVag247323_0156	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494419	18424	19224	+	801		Transmembrane component STY3231 of energizing module of queuosine-regulated ECF transporter	GV01
GV01|SEQ00157	clust_0970	VBIGarVag247323_0157	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494421	19206	20057	+	852		ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter	GV01
GV01|SEQ00158	clust_0969	VBIGarVag247323_0158	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494423	20057	20872	+	816		ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter	GV01
GV01|SEQ00167	clust_0935	VBIGarVag247323_0167	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494441	30777	31817	+	1041		hypothetical protein	GV01
GV01|SEQ00173	clust_0834	VBIGarVag247323_0173	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494453	40712	43189	+	2478		Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9); Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	GV01
GV01|SEQ00178	clust_0942	VBIGarVag247323_0178	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494464	48098	48991	-	894		Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01
GV01|SEQ00179	clust_0938	VBIGarVag247323_0179	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494466	49016	50584	-	1569		Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01
GV01|SEQ00188	clust_0879	VBIGarVag247323_0188	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494488	61413	62270	-	858		FIG042796: Hypothetical protein	GV01
GV01|SEQ00196	clust_0830	VBIGarVag247323_0196	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494506	72477	75158	-	2682		Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01
GV01|SEQ00201	clust_0787	VBIGarVag247323_0201	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494516	79378	80001	-	624		Dihydrofolate reductase (EC 1.5.1.3)	GV01
GV01|SEQ00212	clust_0786	VBIGarVag247323_0212	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494538	89904	91559	-	1656	lysS	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	GV01
GV01|SEQ00215	clust_0042	VBIGarVag247323_0215	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494546	94994	95674	-	681		FIG00672109: hypothetical protein	GV01
GV01|SEQ00227	clust_0832	VBIGarVag247323_0227	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494570	109406	110362	-	957		Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	GV01
GV01|SEQ00235	clust_0864	VBIGarVag247323_0235	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494586	119870	120202	-	333		FIG00672389: hypothetical protein	GV01
GV01|SEQ00244	clust_0981	VBIGarVag247323_0244	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494604	127898	129127	-	1230		Putative homoserine kinase type II, PnuC-associated, THI-regulated branch	GV01
GV01|SEQ00245	clust_0982	VBIGarVag247323_0245	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494606	129253	130125	-	873		ABC transporter substrate-binding protein	GV01
GV01|SEQ00247	clust_0962	VBIGarVag247323_0247	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494610	130353	130973	-	621		Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	GV01
GV01|SEQ00249	clust_0874	VBIGarVag247323_0249	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494614	132009	133367	-	1359		FIG00672439: hypothetical protein	GV01
GV01|SEQ00266	clust_0831	VBIGarVag247323_0266	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494652	154447	154755	-	309		Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	GV01
GV01|SEQ00267	clust_0043	VBIGarVag247323_0267	Gardnerella vaginalis 00703Bmash	ADET01000002	PATRIC	CDS	85494654	154838	156133	-	1296	xseA	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	GV01
GV01|SEQ00272	clust_0979	VBIGarVag247323_0272	Gardnerella vaginalis 00703Bmash	ADET01000003	PATRIC	CDS	85494667	4761	5675	-	915		Dihydrodipicolinate synthase (EC 4.2.1.52)	GV01
