cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
GV01|SEQ00872	85495913	VBIGarVag247323_0872	SEQ00872	Gardnerella vaginalis 00703Bmash	GV01	Gardnerella vaginalis 00703Bmash	ADET01000012	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV02|SEQ01187	85499251	VBIGarVag242669_1187	SEQ01187	Gardnerella vaginalis 00703C2mash	GV02	Gardnerella vaginalis 00703C2mash	ADEU01000021	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV03|SEQ00285	85499953	VBIGarVag247424_0285	SEQ00285	Gardnerella vaginalis 00703Dmash	GV03	Gardnerella vaginalis 00703Dmash	ADEV01000004	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV04|SEQ00065	85479978	VBIGarVag246433_0065	SEQ00065	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000001	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV05|SEQ00386	52546497	VBIGarVag174900_0386	SEQ00386	Gardnerella vaginalis 101	GV05	Gardnerella vaginalis 101	AEJD01000005	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV06|SEQ00613	85490007	VBIGarVag244004_0613	SEQ00613	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000017	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV07|SEQ01154	85494009	VBIGarVag249177_1154	SEQ01154	Gardnerella vaginalis 1500E	GV07	Gardnerella vaginalis 1500E	ADES01000027	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV08|SEQ01160	85476769	VBIGarVag251521_1160	SEQ01160	Gardnerella vaginalis 284V	GV08	Gardnerella vaginalis 284V	ADEL01000011	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV09|SEQ01192	55261613	VBIGarVag169280_1192	SEQ01192	Gardnerella vaginalis 315-A	GV09	Gardnerella vaginalis 315-A	AFDI01000013	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
GV10|SEQ00175	32146366	VBIGarVag136958_0175	SEQ00175	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Endonuclease III (EC 4.2.99.18)	GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	go	clust_0430
