cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	pathway_id	pathway_name	anno_type	ortho_id
GV04|SEQ00125	85480099	VBIGarVag246433_0125	SEQ00125	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000002	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	2.7.1.17	Xylulokinase	40	Pentose and glucuronate interconversions	path	clust_1152
GV04|SEQ00222	85480298	VBIGarVag246433_0222	SEQ00222	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	52	Galactose metabolism	path	clust_1146
GV04|SEQ00222	85480298	VBIGarVag246433_0222	SEQ00222	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_1146
GV04|SEQ00222	85480298	VBIGarVag246433_0222	SEQ00222	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	600	Sphingolipid metabolism	path	clust_1146
GV04|SEQ00222	85480298	VBIGarVag246433_0222	SEQ00222	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	531	Glycosaminoglycan degradation	path	clust_1146
GV04|SEQ00383	85480641	VBIGarVag246433_0383	SEQ00383	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	2.7.1.6	Galactokinase	520	Amino sugar and nucleotide sugar metabolism	path	clust_1155
GV04|SEQ00383	85480641	VBIGarVag246433_0383	SEQ00383	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000004	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	2.7.1.6	Galactokinase	52	Galactose metabolism	path	clust_1155
GV04|SEQ00925	85481756	VBIGarVag246433_0925	SEQ00925	Gardnerella vaginalis 0288E	GV04	Gardnerella vaginalis 0288E	ADEN01000007	PATRIC	CDS	NA	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	5.1.3.8	N-acylglucosamine 2-epimerase	520	Amino sugar and nucleotide sugar metabolism	path	clust_1161
GV06|SEQ00155	85489023	VBIGarVag244004_0155	SEQ00155	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	531	Glycosaminoglycan degradation	path	clust_1146
GV06|SEQ00155	85489023	VBIGarVag244004_0155	SEQ00155	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	600	Sphingolipid metabolism	path	clust_1146
GV06|SEQ00155	85489023	VBIGarVag244004_0155	SEQ00155	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	604	Glycosphingolipid biosynthesis - ganglio series	path	clust_1146
GV06|SEQ00155	85489023	VBIGarVag244004_0155	SEQ00155	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000003	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	52	Galactose metabolism	path	clust_1146
GV06|SEQ00389	85489521	VBIGarVag244004_0389	SEQ00389	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000011	PATRIC	CDS	NA	Xylulose kinase (EC 2.7.1.17)	2.7.1.17	Xylulokinase	40	Pentose and glucuronate interconversions	path	clust_1152
GV06|SEQ00721	85490232	VBIGarVag244004_0721	SEQ00721	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000020	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	2.7.1.6	Galactokinase	520	Amino sugar and nucleotide sugar metabolism	path	clust_1155
GV06|SEQ00721	85490232	VBIGarVag244004_0721	SEQ00721	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000020	PATRIC	CDS	NA	Galactokinase (EC 2.7.1.6)	2.7.1.6	Galactokinase	52	Galactose metabolism	path	clust_1155
GV06|SEQ01326	85491485	VBIGarVag244004_1326	SEQ01326	Gardnerella vaginalis 1400E	GV06	Gardnerella vaginalis 1400E	ADER01000028	PATRIC	CDS	NA	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	5.1.3.8	N-acylglucosamine 2-epimerase	520	Amino sugar and nucleotide sugar metabolism	path	clust_1161
