cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
BIF1|SEQ00010	86882513	VBIBifBif87902_0010	SEQ00010	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		COG3534: Alpha-L-arabinofuranosidase	FIG01669368	figfam	NA
BIF1|SEQ00011	86882515	VBIBifBif87902_0011	SEQ00011	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00015	86882523	VBIBifBif87902_0015	SEQ00015	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00016	86882525	VBIBifBif87902_0016	SEQ00016	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00020	86882533	VBIBifBif87902_0020	SEQ00020	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		Beta-hexosaminidase (EC 3.2.1.52)	FIG00001088	figfam	NA
BIF1|SEQ00021	86882539	VBIBifBif87902_0021	SEQ00021	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00038	86882573	VBIBifBif87902_0038	SEQ00038	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00043	86882583	VBIBifBif87902_0043	SEQ00043	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		FIG00672454: hypothetical protein	FIG00672453	figfam	NA
BIF1|SEQ00048	86882593	VBIBifBif87902_0048	SEQ00048	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00071	86882640	VBIBifBif87902_0071	SEQ00071	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		Mobile element protein	FIG01306568	figfam	NA
BIF1|SEQ00075	86882648	VBIBifBif87902_0075	SEQ00075	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00095	86882688	VBIBifBif87902_0095	SEQ00095	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00097	86882692	VBIBifBif87902_0097	SEQ00097	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00099	86882696	VBIBifBif87902_0099	SEQ00099	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00102	86882702	VBIBifBif87902_0102	SEQ00102	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BIF1|SEQ00117	86882736	VBIBifBif87902_0117	SEQ00117	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		FIG00672241: hypothetical protein	FIG01320652	figfam	NA
