cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
ADO1|SEQ00584	27187444	VBIBifAdo136061_0584	SEQ00584	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
ANI1|SEQ00344	86845604	VBIBifAni240121_0344	SEQ00344	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
ANI2|SEQ00343	86848957	VBIBifAni235968_0343	SEQ00343	Bifidobacterium animalis subsp. lactis Bi-07	ANI2	Bifidobacterium animalis subsp. lactis Bi-07	CP003498	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
ANI3|SEQ00344	42762970	VBIBifAni108068_0344	SEQ00344	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BIF1|SEQ00051	86882599	VBIBifBif87902_0051	SEQ00051	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	clust_3685
BIF1|SEQ01573	86885760	VBIBifBif87902_1573	SEQ01573	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE1|SEQ01660	268605369	VBIBifBre340958_1661	SEQ01660	Bifidobacterium breve 12L	BRE1	Bifidobacterium breve 12L	CP006711	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE2|SEQ01765	268609555	VBIBifBre337368_1765	SEQ01765	Bifidobacterium breve 689b	BRE2	Bifidobacterium breve 689b	CP006715	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE3|SEQ01718	54195210	VBIBifBre167886_1718	SEQ01718	Bifidobacterium breve ACS-071-V-Sch8b	BRE3	Bifidobacterium breve ACS-071-V-Sch8b	CP002743	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE4|SEQ01699	268613564	VBIBifBre327712_1699	SEQ01699	Bifidobacterium breve JCM 7017	BRE4	Bifidobacterium breve JCM 7017	CP006712	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE5|SEQ01821	268617861	VBIBifBre336369_1822	SEQ01821	Bifidobacterium breve JCM 7019	BRE5	Bifidobacterium breve JCM 7019	CP006713	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE6|SEQ01370	177655980	VBIBifBre268992_1370	SEQ01370	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000067	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE7|SEQ01746	268622015	VBIBifBre340732_1746	SEQ01746	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE8|SEQ01125	268624837	VBIBifBre176493_1125	SEQ01125	Bifidobacterium breve S27	BRE8	Bifidobacterium breve S27	CP006716	PATRIC	CDS		Type IV secretory pathway, VirD4 components	FIG00947139	figfam	clust_2812
BRE8|SEQ01703	268626041	VBIBifBre176493_1703	SEQ01703	Bifidobacterium breve S27	BRE8	Bifidobacterium breve S27	CP006716	PATRIC	CDS	aroG2	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
BRE9|SEQ01811	58447785	VBIBifBre30019_1811	SEQ01811	Bifidobacterium breve UCC2003	BRE9	Bifidobacterium breve UCC2003	CP000303	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
GV33|SEQ00159	184001002	VBIGarVag265557_0159	SEQ00159	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000012	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4207
GV33|SEQ00193	184001077	VBIGarVag265557_0193	SEQ00193	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000017	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4209
GV33|SEQ00447	184001622	VBIGarVag265557_0447	SEQ00447	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000040	PATRIC	CDS	NA	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
GV33|SEQ00545	184001833	VBIGarVag265557_0545	SEQ00545	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000052	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4234
GV33|SEQ00585	184001914	VBIGarVag265557_0585	SEQ00585	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000053	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4238
GV33|SEQ00601	184001947	VBIGarVag265557_0601	SEQ00601	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000054	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4243
GV33|SEQ00639	184002028	VBIGarVag265557_0639	SEQ00639	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000059	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4250
GV33|SEQ00667	184002090	VBIGarVag265557_0667	SEQ00667	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000063	PATRIC	CDS	NA	Translation initiation factor 2	FIG00000102	figfam	clust_4253
GV33|SEQ00927	184002686	VBIGarVag265557_0927	SEQ00927	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000104	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	FIG00001563	figfam	clust_4267
GV33|SEQ01097	184003072	VBIGarVag265557_1097	SEQ01097	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000145	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4283
GV33|SEQ01098	184003074	VBIGarVag265557_1098	SEQ01098	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000145	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4284
GV33|SEQ01099	184003076	VBIGarVag265557_1099	SEQ01099	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000145	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_2812
GV33|SEQ01100	184003078	VBIGarVag265557_1100	SEQ01100	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000145	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4285
GV33|SEQ01102	184003082	VBIGarVag265557_1102	SEQ01102	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000145	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_3737
GV33|SEQ01188	184003307	VBIGarVag265557_1188	SEQ01188	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000180	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4297
GV33|SEQ01247	184003440	VBIGarVag265557_1247	SEQ01247	Gardnerella vaginalis JCP8481A	GV33	Gardnerella vaginalis JCP8481A	ATJG01000195	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_3685
GV34|SEQ00001	184003490	VBIGarVag270440_0001	SEQ00001	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000001	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4297
GV34|SEQ00101	184003695	VBIGarVag270440_0101	SEQ00101	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000004	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_3685
GV34|SEQ00263	184004063	VBIGarVag270440_0263	SEQ00263	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000018	PATRIC	CDS	NA	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
GV34|SEQ00382	184004321	VBIGarVag270440_0382	SEQ00382	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000026	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4238
GV34|SEQ00432	184004429	VBIGarVag270440_0432	SEQ00432	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000032	PATRIC	CDS	NA	Translation initiation factor 2	FIG00000102	figfam	clust_4253
GV34|SEQ00659	184004929	VBIGarVag270440_0659	SEQ00659	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000069	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4243
GV34|SEQ00746	184005118	VBIGarVag270440_0746	SEQ00746	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000078	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4234
GV34|SEQ00864	184005368	VBIGarVag270440_0864	SEQ00864	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000088	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4250
GV34|SEQ01009	184005700	VBIGarVag270440_1009	SEQ01009	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000116	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4209
GV34|SEQ01083	184005859	VBIGarVag270440_1083	SEQ01083	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000119	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4207
GV34|SEQ01087	184005868	VBIGarVag270440_1087	SEQ01087	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000120	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	FIG00001563	figfam	clust_4267
GV34|SEQ01116	184005938	VBIGarVag270440_1116	SEQ01116	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000128	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_3737
GV34|SEQ01118	184005942	VBIGarVag270440_1118	SEQ01118	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000128	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4285
GV34|SEQ01119	184005944	VBIGarVag270440_1119	SEQ01119	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000128	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_2812
GV34|SEQ01120	184005946	VBIGarVag270440_1120	SEQ01120	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000128	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4284
GV34|SEQ01121	184005948	VBIGarVag270440_1121	SEQ01121	Gardnerella vaginalis JCP8481B	GV34	Gardnerella vaginalis JCP8481B	ATJF01000128	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_4283
INF1|SEQ00293	46884515	VBIBifLon182273_0293	SEQ00293	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
LON1|SEQ00343	21117727	VBIBifLon107831_0343	SEQ00343	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS		Type IV secretory pathway, VirD4 components	FIG00947139	figfam	clust_2812
LON1|SEQ01058	21119199	VBIBifLon107831_1059	SEQ01058	Bifidobacterium longum NCC2705	LON1	Bifidobacterium longum NCC2705	NC_004307	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
LON2|SEQ01116	42581785	VBIBifLon171405_1118	SEQ01116	Bifidobacterium longum subsp. longum BBMN68	LON2	Bifidobacterium longum subsp. longum BBMN68	NC_014656	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
LON3|SEQ00209	42767351	VBIBifLon156230_0209	SEQ00209	Bifidobacterium longum subsp. longum F8	LON3	Bifidobacterium longum subsp. longum F8	FP929034	PATRIC	CDS		Type IV secretory pathway, VirD4 components	FIG00947139	figfam	clust_2812
LON3|SEQ00932	42768845	VBIBifLon156230_0933	SEQ00932	Bifidobacterium longum subsp. longum F8	LON3	Bifidobacterium longum subsp. longum F8	FP929034	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
LON4|SEQ00301	46888834	VBIBifLon48544_0301	SEQ00301	Bifidobacterium longum subsp. longum JCM 1217	LON4	Bifidobacterium longum subsp. longum JCM 1217	NC_015067	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
THE1|SEQ00829	124734844	VBIBifThe274299_0829	SEQ00829	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	clust_3737
THE1|SEQ01488	124736224	VBIBifThe274299_1488	SEQ01488	Bifidobacterium thermophilum RBL67	THE1	Bifidobacterium thermophilum RBL67	CP004346	PATRIC	CDS		2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	FIG00002110	figfam	clust_1152
