cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
ADO1|SEQ00731	27187760	VBIBifAdo136061_0731	SEQ00731	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
ADO1|SEQ00731	27187760	VBIBifAdo136061_0731	SEQ00731	Bifidobacterium adolescentis L2-32	ADO1	Bifidobacterium adolescentis L2-32	NZ_DS264454	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
ANI1|SEQ00512	86845967	VBIBifAni240121_0512	SEQ00512	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
ANI1|SEQ00512	86845967	VBIBifAni240121_0512	SEQ00512	Bifidobacterium animalis subsp. lactis B420	ANI1	Bifidobacterium animalis subsp. lactis B420	CP003497	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
ANI2|SEQ00512	86849321	VBIBifAni235968_0512	SEQ00512	Bifidobacterium animalis subsp. lactis Bi-07	ANI2	Bifidobacterium animalis subsp. lactis Bi-07	CP003498	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
ANI2|SEQ00512	86849321	VBIBifAni235968_0512	SEQ00512	Bifidobacterium animalis subsp. lactis Bi-07	ANI2	Bifidobacterium animalis subsp. lactis Bi-07	CP003498	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
ANI3|SEQ00514	42763334	VBIBifAni108068_0514	SEQ00514	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
ANI3|SEQ00514	42763334	VBIBifAni108068_0514	SEQ00514	Bifidobacterium animalis subsp. lactis V9	ANI3	Bifidobacterium animalis subsp. lactis V9	CP001892	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
DEN1|SEQ00146	43461547	VBIBifDen165269_0147	SEQ00146	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
DEN1|SEQ00146	43461547	VBIBifDen165269_0147	SEQ00146	Bifidobacterium dentium ATCC 27679	DEN1	Bifidobacterium dentium ATCC 27679	NZ_GL405225	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
DEN2|SEQ01936	42112292	VBIBifDen39005_1938	SEQ01936	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000032	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
DEN2|SEQ01936	42112292	VBIBifDen39005_1938	SEQ01936	Bifidobacterium dentium JCVIHMP022	DEN2	Bifidobacterium dentium JCVIHMP022	NZ_AEHJ01000032	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
INF1|SEQ01663	46887345	VBIBifLon182273_1663	SEQ01663	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
INF1|SEQ01663	46887345	VBIBifLon182273_1663	SEQ01663	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
LON3|SEQ01153	42766182	VBIBifLon156230_1155	SEQ01153	Bifidobacterium longum subsp. longum F8	LON3	Bifidobacterium longum subsp. longum F8	FP929034	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0003700	transcription factor activity	go	clust_0823
LON3|SEQ01153	42766182	VBIBifLon156230_1155	SEQ01153	Bifidobacterium longum subsp. longum F8	LON3	Bifidobacterium longum subsp. longum F8	FP929034	PATRIC	CDS	NA	Maltose operon transcriptional repressor MalR, LacI family	GO:0005622	intracellular	go	clust_0823
