cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
GV10|SEQ00507	32147066	VBIGarVag136958_0507	SEQ00507	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	FIG00425592: hypothetical protein	FIG00671937	figfam	clust_1695
GV10|SEQ00673	32147414	VBIGarVag136958_0673	SEQ00673	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoate amidohydrolase (EC 3.5.3.9)	FIG01304617	figfam	clust_1669
GV10|SEQ00674	32147416	VBIGarVag136958_0674	SEQ00674	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoin permease	FIG00007291	figfam	clust_1670
GV10|SEQ00675	32147418	VBIGarVag136958_0675	SEQ00675	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Allantoinase (EC 3.5.2.5)	FIG00002008	figfam	clust_1671
GV10|SEQ00676	32147420	VBIGarVag136958_0676	SEQ00676	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Sulfur carrier protein ThiS	FIG00058747	figfam	clust_1672
GV10|SEQ00677	32147422	VBIGarVag136958_0677	SEQ00677	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Sulfur carrier protein adenylyltransferase ThiF	FIG00001002	figfam	clust_1673
GV10|SEQ00678	32147424	VBIGarVag136958_0678	SEQ00678	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Thiazole biosynthesis protein ThiG	FIG00000563	figfam	clust_1674
GV10|SEQ00707	32147484	VBIGarVag136958_0707	SEQ00707	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	hypothetical protein	FIG00638284	figfam	clust_1675
GV10|SEQ00836	32147746	VBIGarVag136958_0836	SEQ00836	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	Translation initiation factor 2	FIG00000102	figfam	clust_1753
GV10|SEQ00874	32147824	VBIGarVag136958_0874	SEQ00874	Gardnerella vaginalis 409-05	GV10	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	NA	FIG00672247: hypothetical protein	FIG00672245	figfam	clust_1676
