id_short	id_abbr	id_full	id_full_underscore	raxml_subclade	raxml_clade	genbank	genome_status	chromosomes	plasmids	contigs	genome_size	gc_content	patric_cds	isolation_source	sing_clust_count	total_clust_count	group_id
GV01	00703Bmash	Gardnerella vaginalis 00703Bmash	Gardnerella_vaginalis_00703Bmash	2B	2	ADET00000000	WGS	0	0	16	1.566	42.3	1273	Vagina	37	1273	2B
GV02	00703C2mash	Gardnerella vaginalis 00703C2mash	Gardnerella_vaginalis_00703C2mash	2B	2	ADEU00000000	WGS	0	0	22	1.547	42.3	1237	Vagina	46	1237	2B
GV03	00703Dmash	Gardnerella vaginalis 00703Dmash	Gardnerella_vaginalis_00703Dmash	3A	3	ADEV00000000	WGS	0	0	11	1.491	43.4	1172	Vagina	40	1172	3A
GV04	0288E	Gardnerella vaginalis 0288E	Gardnerella_vaginalis_0288E	1A	1	ADEN00000000	WGS	0	0	17	1.709	41.2	1364	Endometrium	35	1364	1A
GV05	101	Gardnerella vaginalis 101	Gardnerella_vaginalis_101	3A	3	AEJD00000000	WGS	0	0	43	1.527	43.4	1190	ND	29	1190	3A
GV06	1400E	Gardnerella vaginalis 1400E	Gardnerella_vaginalis_1400E	1B	1	ADER00000000	WGS	0	0	28	1.716	41.2	1370	Vagina/endometrium	48	1370	1B
GV07	1500E	Gardnerella vaginalis 1500E	Gardnerella_vaginalis_1500E	3A	3	ADES00000000	WGS	0	0	27	1.548	43	1195	Vagina/endometrium	75	1195	3A
GV08	284V	Gardnerella vaginalis 284V	Gardnerella_vaginalis_284V	1A	1	ADEL00000000	WGS	0	0	16	1.651	41.2	1304	Endometrium	33	1304	1A
GV09	315-A	Gardnerella vaginalis 315-A	Gardnerella_vaginalis_315-A	1A	1	AFDI00000000	WGS	0	0	13	1.653	41.4	1320	Vagina	43	1320	1A
GV10	409-05	Gardnerella vaginalis 409-05	Gardnerella_vaginalis_409-05	3B	3	CP001849	Complete	1	0	1	1.618	42	1190	Vagina	48	1190	3B
GV11	41V	Gardnerella vaginalis 41V	Gardnerella_vaginalis_41V	1B	1	AEJE00000000	WGS	0	0	76	1.659	41.3	1336	Vagina	57	1336	1B
GV12	5-1	Gardnerella vaginalis 5-1	Gardnerella_vaginalis_5-1	3B	3	ADAN00000000	WGS	0	0	94	1.673	42	1294	Vagina	84	1294	3B
GV13	55152	Gardnerella vaginalis 55152	Gardnerella_vaginalis_55152	1B	1	ADEQ00000000	WGS	0	0	25	1.643	41.3	1322	Vagina/endometrium	49	1322	1B
GV14	6119V5	Gardnerella vaginalis 6119V5	Gardnerella_vaginalis_6119V5	3A	3	ADEW00000000	WGS	0	0	12	1.5	43.3	1187	Vagina	51	1187	3A
GV15	6420B	Gardnerella vaginalis 6420B	Gardnerella_vaginalis_6420B	3B	3	ADEP00000000	WGS	0	0	14	1.494	42.2	1162	Vagina/endometrium	51	1162	3B
GV16	75712	Gardnerella vaginalis 75712	Gardnerella_vaginalis_75712	1A	1	ADEM00000000	WGS	0	0	3	1.673	41.3	1314	Vagina	21	1314	1A
GV17	AMD	Gardnerella vaginalis AMD	Gardnerella_vaginalis_AMD	3B	3	ADAM00000000	WGS	0	0	117	1.607	42.1	1217	Vagina	48	1217	3B
GV18	ATCC 14018	Gardnerella vaginalis ATCC 14018	Gardnerella_vaginalis_ATCC_14018	1A	1	ADNB00000000	WGS	0	0	145	1.604	41.2	1313	ND	67	1313	1A
GV19	ATCC 14019	Gardnerella vaginalis ATCC 14019	Gardnerella_vaginalis_ATCC_14019	1A	1	CP002104	Complete	1	0	1	1.667	41.4	1345	Vagina	45	1345	1A
GV20	HMP9231	Gardnerella vaginalis HMP9231	Gardnerella_vaginalis_HMP9231	1A	1	CP002725	Complete	1	0	1	1.727	41.2	1376	Endometrium	33	1376	1A
GV21	JCP7275	Gardnerella vaginalis JCP7275	Gardnerella_vaginalis_JCP7275	1B	1	ATJS00000000	WGS	0	0	202	1.56	41	1230	Vagina	45	1230	1B
GV22	JCP7276	Gardnerella vaginalis JCP7276	Gardnerella_vaginalis_JCP7276	1A	1	ATJR00000000	WGS	0	0	179	1.656	41	1315	Vagina	30	1315	1A
GV23	JCP7659	Gardnerella vaginalis JCP7659	Gardnerella_vaginalis_JCP7659	2B	2	ATJQ00000000	WGS	0	0	214	1.533	41.9	1251	Vagina	29	1251	2B
GV24	JCP7672	Gardnerella vaginalis JCP7672	Gardnerella_vaginalis_JCP7672	1A	1	ATJP00000000	WGS	0	0	169	1.601	41.2	1251	Vagina	28	1251	1A
GV25	JCP7719	Gardnerella vaginalis JCP7719	Gardnerella_vaginalis_JCP7719	2B	2	ATJO00000000	WGS	0	0	185	1.559	42	1302	Vagina	48	1302	2B
GV26	JCP8017A	Gardnerella vaginalis JCP8017A	Gardnerella_vaginalis_JCP8017A	2B	2	ATJN00000000	WGS	0	0	187	1.606	42.1	1343	Vagina	26	1343	2B
GV27	JCP8017B	Gardnerella vaginalis JCP8017B	Gardnerella_vaginalis_JCP8017B	2B	2	ATJM00000000	WGS	0	0	187	1.599	42	1335	Vagina	21	1335	2B
GV28	JCP8066	Gardnerella vaginalis JCP8066	Gardnerella_vaginalis_JCP8066	2A	2	ATJL00000000	WGS	0	0	197	1.515	42.2	1209	Vagina	42	1209	2A
GV29	JCP8070	Gardnerella vaginalis JCP8070	Gardnerella_vaginalis_JCP8070	2A	2	ATJK00000000	WGS	0	0	173	1.476	42.2	1208	Vagina	41	1208	2A
GV30	JCP8108	Gardnerella vaginalis JCP8108	Gardnerella_vaginalis_JCP8108	1B	1	ATJJ00000000	WGS	0	0	176	1.663	41.1	1351	Vagina	54	1351	1B
GV31	JCP8151A	Gardnerella vaginalis JCP8151A	Gardnerella_vaginalis_JCP8151A	2A	2	ATJI00000000	WGS	0	0	189	1.556	42	1259	Vagina	40	1259	2A
GV32	JCP8151B	Gardnerella vaginalis JCP8151B	Gardnerella_vaginalis_JCP8151B	2A	2	ATJH00000000	WGS	0	0	185	1.551	42.2	1276	Vagina	55	1276	2A
GV33	JCP8481A	Gardnerella vaginalis JCP8481A	Gardnerella_vaginalis_JCP8481A	3A	3	ATJG00000000	WGS	0	0	204	1.567	42.9	1263	Vagina	34	1263	3A
GV34	JCP8481B	Gardnerella vaginalis JCP8481B	Gardnerella_vaginalis_JCP8481B	3A	3	ATJF00000000	WGS	0	0	180	1.57	42.9	1251	Vagina	19	1251	3A
GV35	JCP8522	Gardnerella vaginalis JCP8522	Gardnerella_vaginalis_JCP8522	2A	2	ATJE00000000	WGS	0	0	191	1.47	42.2	1180	Vagina	43	1180	2A
