cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	ec_number	ec_name	pathway_id	pathway_name	anno_type	ortho_id
BRE6|SEQ00494	177654122	VBIBifBre268992_0494	SEQ00494	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000025	PATRIC	CDS	NA	PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	10	Glycolysis / Gluconeogenesis	path	NA
BRE6|SEQ00494	177654122	VBIBifBre268992_0494	SEQ00494	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000025	PATRIC	CDS	NA	PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	51	Fructose and mannose metabolism	path	NA
BRE6|SEQ00494	177654122	VBIBifBre268992_0494	SEQ00494	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000025	PATRIC	CDS	NA	PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	500	Starch and sucrose metabolism	path	NA
BRE6|SEQ00494	177654122	VBIBifBre268992_0494	SEQ00494	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000025	PATRIC	CDS	NA	PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	52	Galactose metabolism	path	NA
BRE6|SEQ00494	177654122	VBIBifBre268992_0494	SEQ00494	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000025	PATRIC	CDS	NA	PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	520	Amino sugar and nucleotide sugar metabolism	path	NA
BRE6|SEQ00494	177654122	VBIBifBre268992_0494	SEQ00494	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000025	PATRIC	CDS	NA	PTS system, N-acetylglucosamine-specific IIA component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69) / PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)	2.7.1.69	Protein-N(pi)-phosphohistidine--sugar phosphotransferase	53	Ascorbate and aldarate metabolism	path	NA
BRE6|SEQ00510	177654157	VBIBifBre268992_0510	SEQ00510	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000027	PATRIC	CDS	NA	Argininosuccinate lyase (EC 4.3.2.1)	4.3.2.1	Argininosuccinate lyase	330	Arginine and proline metabolism	path	NA
BRE6|SEQ00510	177654157	VBIBifBre268992_0510	SEQ00510	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000027	PATRIC	CDS	NA	Argininosuccinate lyase (EC 4.3.2.1)	4.3.2.1	Argininosuccinate lyase	250	Alanine, aspartate and glutamate metabolism	path	NA
BRE6|SEQ01253	177655728	VBIBifBre268992_1253	SEQ01253	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000061	PATRIC	CDS	NA	Ketol-acid reductoisomerase (EC 1.1.1.86)	1.1.1.86	Ketol-acid reductoisomerase	290	Valine, leucine and isoleucine biosynthesis	path	NA
BRE6|SEQ01253	177655728	VBIBifBre268992_1253	SEQ01253	Bifidobacterium breve JCP7499	BRE6	Bifidobacterium breve JCP7499	AWSX01000061	PATRIC	CDS	NA	Ketol-acid reductoisomerase (EC 1.1.1.86)	1.1.1.86	Ketol-acid reductoisomerase	770	Pantothenate and CoA biosynthesis	path	NA
