cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
BRE7|SEQ00035	268618461	VBIBifBre340732_0035	SEQ00035	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		Transcriptional regulator, LacI family	FIG00781023	figfam	NA
BRE7|SEQ00167	268618733	VBIBifBre340732_0167	SEQ00167	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BRE7|SEQ00416	268619255	VBIBifBre340732_0416	SEQ00416	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		Mobile element protein	FIG01306568	figfam	NA
BRE7|SEQ00473	268619372	VBIBifBre340732_0473	SEQ00473	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		FIG00424334: hypothetical protein	FIG01332167	figfam	NA
BRE7|SEQ01047	268620569	VBIBifBre340732_1047	SEQ01047	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BRE7|SEQ01138	268620759	VBIBifBre340732_1138	SEQ01138	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		FIG00672247: hypothetical protein	FIG00672245	figfam	NA
BRE7|SEQ01343	268621179	VBIBifBre340732_1343	SEQ01343	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		FIG00425949: hypothetical protein	FIG01657166	figfam	NA
BRE7|SEQ01488	268621472	VBIBifBre340732_1488	SEQ01488	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		COG1180: Radical SAM, Pyruvate-formate lyase-activating enzyme like	FIG00004134	figfam	NA
BRE7|SEQ01538	268621582	VBIBifBre340732_1538	SEQ01538	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
BRE7|SEQ01543	268621593	VBIBifBre340732_1543	SEQ01543	Bifidobacterium breve NCFB 2258	BRE7	Bifidobacterium breve NCFB 2258	CP006714	PATRIC	CDS		LacI-type transcriptional regulator	FIG00984613	figfam	NA
