GV12|SEQ00895
GV17|SEQ00242
GV15|SEQ00310
GV14|SEQ00842
GV34|SEQ00981
GV33|SEQ00941
GV30|SEQ00335
GV13|SEQ00420
GV19|SEQ01064
GV20|SEQ00443
GV24|SEQ00146
GV16|SEQ00548
GV25|SEQ00546
GV31|SEQ00040
GV32|SEQ00710
GV28|SEQ00056
GV29|SEQ00492
GV35|SEQ01031
GV26|SEQ01194
GV27|SEQ00239
GV23|SEQ00730
LON3|SEQ00434
LON2|SEQ00627
LON4|SEQ00778
LON1|SEQ00567
INF1|SEQ00806
THE1|SEQ00962
GV22|SEQ00687
GV18|SEQ00014
GV21|SEQ00081
BRE2|SEQ00944
BRE3|SEQ00934
BRE4|SEQ00894
BRE5|SEQ00913
BRE8|SEQ00924
BRE9|SEQ00977
BRE6|SEQ00768
BRE7|SEQ00894
DEN2|SEQ00558
DEN1|SEQ01645
GV10|SEQ00352
GV07|SEQ00855
GV03|SEQ00537
GV05|SEQ00558
GV11|SEQ00312
GV06|SEQ00319
GV01|SEQ01108
GV08|SEQ00767
GV02|SEQ00330
GV09|SEQ00213
GV04|SEQ00770
ANI2|SEQ00910
ANI3|SEQ00913
BIF1|SEQ00804
BRE1|SEQ00862
ADO1|SEQ01253
ANI1|SEQ00911
