id_short_ssu	id_short	id_full	id_full_underscore	id_abbr	genus	species	subspecies	hc_group	fid_locus	genome	id_fasta	gv_clade
1_GV01	GV01	Gardnerella vaginalis 00703Bmash	Gardnerella_vaginalis_00703Bmash	G. vaginalis 00703Bmash	Gardnerella	vaginalis	NA	5	fid|85494740|locus|VBIGarVag247323_r016|	Gardnerella vaginalis 00703Bmash	fid|85494740|locus|VBIGarVag247323_r016|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 00703Bmash]	1
2_GV02	GV02	Gardnerella vaginalis 00703C2mash	Gardnerella_vaginalis_00703C2mash	G. vaginalis 00703C2mash	Gardnerella	vaginalis	NA	5	fid|85498188|locus|VBIGarVag242669_r028|	Gardnerella vaginalis 00703C2mash	fid|85498188|locus|VBIGarVag242669_r028|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 00703C2mash]	1
3_GV03	GV03	Gardnerella vaginalis 00703Dmash	Gardnerella_vaginalis_00703Dmash	G. vaginalis 00703Dmash	Gardnerella	vaginalis	NA	5	fid|85499359|locus|VBIGarVag247424_r003|	Gardnerella vaginalis 00703Dmash	fid|85499359|locus|VBIGarVag247424_r003|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 00703Dmash]	2B
4_GV04	GV04	Gardnerella vaginalis 0288E	Gardnerella_vaginalis_0288E	G. vaginalis 0288E	Gardnerella	vaginalis	NA	5	fid|85482455|locus|VBIGarVag246433_r044|	Gardnerella vaginalis 0288E	fid|85482455|locus|VBIGarVag246433_r044|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 0288E]	3
5_GV05	GV05	Gardnerella vaginalis 101	Gardnerella_vaginalis_101	G. vaginalis 101	Gardnerella	vaginalis	NA	5	fid|52548065|locus|VBIGarVag174900_r040|	Gardnerella vaginalis 101	fid|52548065|locus|VBIGarVag174900_r040|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 101]	2B
6_GV06	GV06	Gardnerella vaginalis 1400E	Gardnerella_vaginalis_1400E	G. vaginalis 1400E	Gardnerella	vaginalis	NA	5	fid|85489647|locus|VBIGarVag244004_r018|	Gardnerella vaginalis 1400E	fid|85489647|locus|VBIGarVag244004_r018|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 1400E]	3
7_GV07	GV07	Gardnerella vaginalis 1500E	Gardnerella_vaginalis_1500E	G. vaginalis 1500E	Gardnerella	vaginalis	NA	5	fid|85493650|locus|VBIGarVag249177_r042|	Gardnerella vaginalis 1500E	fid|85493650|locus|VBIGarVag249177_r042|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 1500E]	2B
8_GV09	GV09	Gardnerella vaginalis 315-A	Gardnerella_vaginalis_315-A	G. vaginalis 315-A	Gardnerella	vaginalis	NA	5	fid|55259520|locus|VBIGarVag169280_r008|	Gardnerella vaginalis 315-A	fid|55259520|locus|VBIGarVag169280_r008|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 315-A]	3
9_GV10	GV10	Gardnerella vaginalis 409-05	Gardnerella_vaginalis_409-05	G. vaginalis 409-05	Gardnerella	vaginalis	NA	5	fid|32148290|locus|VBIGarVag136958_r047|	Gardnerella vaginalis 409-05	fid|32148290|locus|VBIGarVag136958_r047|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 409-05]	2A
10_GV10	GV10	Gardnerella vaginalis 409-05	Gardnerella_vaginalis_409-05	G. vaginalis 409-05	Gardnerella	vaginalis	NA	5	fid|32148446|locus|VBIGarVag136958_r050|	Gardnerella vaginalis 409-05	fid|32148446|locus|VBIGarVag136958_r050|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 409-05]	2A
11_GV11	GV11	Gardnerella vaginalis 41V	Gardnerella_vaginalis_41V	G. vaginalis 41V	Gardnerella	vaginalis	NA	5	fid|52548261|locus|VBIGarVag171052_r003|	Gardnerella vaginalis 41V	fid|52548261|locus|VBIGarVag171052_r003|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 41V]	3
12_GV12	GV12	Gardnerella vaginalis 5-1	Gardnerella_vaginalis_5-1	G. vaginalis 5-1	Gardnerella	vaginalis	NA	5	fid|37852647|locus|VBIGarVag144721_r001|	Gardnerella vaginalis 5-1	fid|37852647|locus|VBIGarVag144721_r001|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 5-1]	2A
13_GV13	GV13	Gardnerella vaginalis 55152	Gardnerella_vaginalis_55152	G. vaginalis 55152	Gardnerella	vaginalis	NA	5	fid|85488354|locus|VBIGarVag244533_r045|	Gardnerella vaginalis 55152	fid|85488354|locus|VBIGarVag244533_r045|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 55152]	3
14_GV14	GV14	Gardnerella vaginalis 6119V5	Gardnerella_vaginalis_6119V5	G. vaginalis 6119V5	Gardnerella	vaginalis	NA	5	fid|85503217|locus|VBIGarVag244375_r026|	Gardnerella vaginalis 6119V5	fid|85503217|locus|VBIGarVag244375_r026|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 6119V5]	2B
15_GV15	GV15	Gardnerella vaginalis 6420B	Gardnerella_vaginalis_6420B	G. vaginalis 6420B	Gardnerella	vaginalis	NA	5	fid|85485658|locus|VBIGarVag249709_r042|	Gardnerella vaginalis 6420B	fid|85485658|locus|VBIGarVag249709_r042|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 6420B]	2A
16_GV16	GV16	Gardnerella vaginalis 75712	Gardnerella_vaginalis_75712	G. vaginalis 75712	Gardnerella	vaginalis	NA	5	fid|85477101|locus|VBIGarVag246379_r001|	Gardnerella vaginalis 75712	fid|85477101|locus|VBIGarVag246379_r001|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis 75712]	3
17_GV17	GV17	Gardnerella vaginalis AMD	Gardnerella_vaginalis_AMD	G. vaginalis AMD	Gardnerella	vaginalis	NA	5	fid|37851219|locus|VBIGarVag146634_r024|	Gardnerella vaginalis AMD	fid|37851219|locus|VBIGarVag146634_r024|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis AMD]	2A
18_GV19	GV19	Gardnerella vaginalis ATCC 14019	Gardnerella_vaginalis_ATCC_14019	G. vaginalis ATCC 14019	Gardnerella	vaginalis	NA	5	fid|42627249|locus|VBIGarVag39333_r008|	Gardnerella vaginalis ATCC 14019	fid|42627249|locus|VBIGarVag39333_r008|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis ATCC 14019]	3
19_GV19	GV19	Gardnerella vaginalis ATCC 14019	Gardnerella_vaginalis_ATCC_14019	G. vaginalis ATCC 14019	Gardnerella	vaginalis	NA	5	fid|42627441|locus|VBIGarVag39333_r011|	Gardnerella vaginalis ATCC 14019	fid|42627441|locus|VBIGarVag39333_r011|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis ATCC 14019]	3
