cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
ADO1|SEQ00001	VBIBifAdo136061_0001	Bifidobacterium adolescentis L2-32	NZ_DS264420	PATRIC	CDS	27186190	204	836	+	633		Outer membrane protein W precursor	ADO1	NA
ADO1|SEQ00002	VBIBifAdo136061_0002	Bifidobacterium adolescentis L2-32	NZ_DS264420	PATRIC	CDS	27186192	1062	1295	-	234		hypothetical protein	ADO1	NA
ADO1|SEQ00003	VBIBifAdo136061_0003	Bifidobacterium adolescentis L2-32	NZ_DS264420	PATRIC	CDS	27186194	1905	2108	-	204		hypothetical protein	ADO1	NA
ADO1|SEQ00004	VBIBifAdo136061_0004	Bifidobacterium adolescentis L2-32	NZ_DS264420	PATRIC	CDS	27186196	2143	2664	-	522		hypothetical protein	ADO1	NA
ADO1|SEQ00005	VBIBifAdo136061_0005	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS	27186199	25	594	+	570		Porphobilinogen synthase (EC 4.2.1.24)	ADO1	NA
ADO1|SEQ00006	VBIBifAdo136061_0006	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS	27186201	1796	2224	+	429		Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	ADO1	NA
ADO1|SEQ00007	VBIBifAdo136061_0007	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS	27186203	2289	2636	+	348		hypothetical protein	ADO1	NA
ADO1|SEQ00008	VBIBifAdo136061_0008	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS	27186205	2647	2901	+	255		Proteinase inhibitor	ADO1	NA
ADO1|SEQ00009	VBIBifAdo136061_0009	Bifidobacterium adolescentis L2-32	NZ_DS264421	PATRIC	CDS	27186207	2918	3073	-	156		2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	ADO1	NA
ADO1|SEQ00016	VBIBifAdo136061_0016	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	27186224	8643	9047	+	405		hypothetical protein	ADO1	NA
ADO1|SEQ00020	VBIBifAdo136061_0020	Bifidobacterium adolescentis L2-32	NZ_DS264422	PATRIC	CDS	27186232	13271	13420	-	150		hypothetical protein	ADO1	NA
