id_short	id_full	genbank	genome_status	chromosomes	plasmids	contigs	genome_size	gc_content	patric_cds	isolation_source	sti	diag_symp	biotype	nugent
GV01	Gardnerella vaginalis 00703Bmash	ADET00000000	WGS	0	0	14	1.56	42.3	1273	Vagina	HSV-2	BV + metronidazole treatment	2 or 5	7
GV02	Gardnerella vaginalis 00703C2mash	ADEU00000000	WGS	0	0	20	1.54	42.2	1237	Vagina	HSV-2	BV + metronidazole treatment	2 or 5	10
GV03	Gardnerella vaginalis 00703Dmash	ADEV00000000	WGS	0	0	8	1.48	43.4	1172	Vagina	HSV-2	BV + metronidazole treatment	3 or 7	3
GV04	Gardnerella vaginalis 0288E	ADEN00000000	WGS	0	0	17	1.71	41.2	1364	Endometrium	Negative	"Abnormal discharge, odor"	1	8
GV05	Gardnerella vaginalis 101	AEJD00000000	WGS	0	0	7	1.51	NA	1190	NA	NA	NA	NA	NA
GV06	Gardnerella vaginalis 1400E	ADER00000000	WGS	0	0	26	1.72	41.1	1370	Vagina/endometrium	Negative	NA	4	9
GV07	Gardnerella vaginalis 1500E	ADES00000000	WGS	0	0	25	1.55	43	1195	Vagina/endometrium	Negative	NA	5	7
GV08	Gardnerella vaginalis 284V	ADEL00000000	WGS	0	0	11	1.64	41.2	1304	Endometrium	Chlamydia trachomatis	"Abnormal discharge, odor"	1	7
GV09	Gardnerella vaginalis 315-A	AFDI00000000	WGS	0	0	11	1.65	NA	1320	Vagina	NA	NA	NA	NA
GV10	Gardnerella vaginalis 409-05	CP001849	Complete	1	0	0	1.62	42	1190	Vagina	NA	NA	NA	NA
GV11	Gardnerella vaginalis 41V	AEJE00000000	WGS	0	0	65	1.65	NA	1336	Vagina	NA	Healthy	NA	NA
GV12	Gardnerella vaginalis 5-1	ADAN00000000	WGS	0	0	17	1.65	NA	1294	Vagina	NA	Healthy	NA	NA
GV13	Gardnerella vaginalis 55152	ADEQ00000000	WGS	0	0	24	1.64	41.3	1322	Vagina/endometrium	Negative	Asymptomatic	3	8
GV14	Gardnerella vaginalis 6119V5	ADEW00000000	WGS	0	0	12	1.5	43.2	1187	Vagina	Negative	Asymptomatic	7	5
GV15	Gardnerella vaginalis 6420B	ADEP00000000	WGS	0	0	12	1.49	42.2	1162	Vagina/endometrium	Negative	Asymptomatic	2	3
GV16	Gardnerella vaginalis 75712	ADEM00000000	WGS	0	0	3	1.67	41.3	1314	Vagina	Negative	BV/asymptomatic	1	7
GV17	Gardnerella vaginalis AMD	ADAM00000000	WGS	0	0	26	1.58	NA	1217	Vagina	NA	BV	NA	NA
GV18	Gardnerella vaginalis ATCC 14018	ADNB00000000	WGS	0	0	133	1.59	41.1	1313	NA	NA	NA	NA	NA
GV19	Gardnerella vaginalis ATCC 14019	CP002104	Complete	1	0	0	1.67	41.5	1345	Vagina	NA	NA	NA	NA
GV20	Gardnerella vaginalis HMP9231	CP002725	Complete	1	0	0	1.73	NA	1376	Endometrium	NA	NA	NA	NA
GV21	Gardnerella vaginalis JCP7275	ATJS00000000	WGS	0	0	177	1.54	41	1230	Vagina	NA	NA	NA	NA
GV22	Gardnerella vaginalis JCP7276	ATJR00000000	WGS	0	0	146	1.63	40.9	1315	Vagina	NA	NA	NA	NA
GV23	Gardnerella vaginalis JCP7659	ATJQ00000000	WGS	0	0	185	1.51	41.9	1251	Vagina	NA	NA	NA	NA
GV24	Gardnerella vaginalis JCP7672	ATJP00000000	WGS	0	0	139	1.58	41.2	1251	Vagina	NA	NA	NA	NA
GV25	Gardnerella vaginalis JCP7719	ATJO00000000	WGS	0	0	152	1.54	42	1302	Vagina	NA	NA	NA	NA
GV26	Gardnerella vaginalis JCP8017A	ATJN00000000	WGS	0	0	151	1.58	42.1	1343	Vagina	NA	NA	NA	NA
GV27	Gardnerella vaginalis JCP8017B	ATJM00000000	WGS	0	0	152	1.57	42	1335	Vagina	NA	NA	NA	NA
GV28	Gardnerella vaginalis JCP8066	ATJL00000000	WGS	0	0	158	1.48	42.2	1209	Vagina	NA	NA	NA	NA
GV29	Gardnerella vaginalis JCP8070	ATJK00000000	WGS	0	0	146	1.46	42.2	1208	Vagina	NA	NA	NA	NA
GV30	Gardnerella vaginalis JCP8108	ATJJ00000000	WGS	0	0	144	1.64	41.1	1351	Vagina	NA	NA	NA	NA
GV31	Gardnerella vaginalis JCP8151A	ATJI00000000	WGS	0	0	152	1.53	42	1259	Vagina	NA	NA	NA	NA
GV32	Gardnerella vaginalis JCP8151B	ATJH00000000	WGS	0	0	147	1.52	42.2	1276	Vagina	NA	NA	NA	NA
GV33	Gardnerella vaginalis JCP8481A	ATJG00000000	WGS	0	0	164	1.54	42.9	1263	Vagina	NA	NA	NA	NA
GV34	Gardnerella vaginalis JCP8481B	ATJF00000000	WGS	0	0	149	1.54	42.9	1251	Vagina	NA	NA	NA	NA
GV35	Gardnerella vaginalis JCP8522	ATJE00000000	WGS	0	0	159	1.44	42.2	1180	Vagina	NA	NA	NA	NA
