cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	figfam_id	anno_type	ortho_id
INF1|SEQ00042	46883985	VBIBifLon182273_0042	SEQ00042	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
INF1|SEQ00059	46884020	VBIBifLon182273_0059	SEQ00059	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
INF1|SEQ00077	46884058	VBIBifLon182273_0077	SEQ00077	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
INF1|SEQ00115	46884137	VBIBifLon182273_0115	SEQ00115	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
INF1|SEQ00384	46884705	VBIBifLon182273_0384	SEQ00384	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		Mobile element protein	FIG01306568	figfam	NA
INF1|SEQ00393	46884723	VBIBifLon182273_0393	SEQ00393	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
INF1|SEQ00399	46884735	VBIBifLon182273_0399	SEQ00399	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		Mobile element protein	FIG01306568	figfam	NA
INF1|SEQ00456	46884850	VBIBifLon182273_0456	SEQ00456	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		FIG00424334: hypothetical protein	FIG01332167	figfam	NA
INF1|SEQ00475	46884889	VBIBifLon182273_0475	SEQ00475	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		hypothetical protein	FIG00638284	figfam	NA
INF1|SEQ00496	46884932	VBIBifLon182273_0496	SEQ00496	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		FIG00426491: hypothetical protein	FIG01329886	figfam	NA
INF1|SEQ00497	46884934	VBIBifLon182273_0497	SEQ00497	Bifidobacterium longum subsp. infantis 157F	INF1	Bifidobacterium longum subsp. infantis 157F	NC_015052	PATRIC	CDS		Transcriptional regulator, Cro/CI family	FIG01232116	figfam	NA
