cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
BIF1|SEQ00020	86882533	VBIBifBif87902_0020	SEQ00020	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Beta-hexosaminidase (EC 3.2.1.52)	GO:0004563	beta-N-acetylhexosaminidase activity	go	NA
BIF1|SEQ00213	86882939	VBIBifBif87902_0213	SEQ00213	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	GO:0008889	glycerophosphodiester phosphodiesterase activity	go	NA
BIF1|SEQ00229	86882971	VBIBifBif87902_0229	SEQ00229	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GO:0003723	RNA binding	go	NA
BIF1|SEQ00279	86883085	VBIBifBif87902_0279	SEQ00279	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	GO:0030798	trans-aconitate 2-methyltransferase activity	go	NA
BIF1|SEQ00306	86883139	VBIBifBif87902_0306	SEQ00306	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0005840	ribosome	go	NA
BIF1|SEQ00306	86883139	VBIBifBif87902_0306	SEQ00306	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0006412	translation	go	NA
BIF1|SEQ00306	86883139	VBIBifBif87902_0306	SEQ00306	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0005622	intracellular	go	NA
BIF1|SEQ00306	86883139	VBIBifBif87902_0306	SEQ00306	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	SSU ribosomal protein S16p	GO:0003735	structural constituent of ribosome	go	NA
BIF1|SEQ00339	86883209	VBIBifBif87902_0339	SEQ00339	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	PTS system, galactitol-specific IIC component (EC 2.7.1.69)	GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	go	NA
BIF1|SEQ00456	86883445	VBIBifBif87902_0456	SEQ00456	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Beta-galactosidase (EC 3.2.1.23)	GO:0004565	beta-galactosidase activity	go	NA
BIF1|SEQ00487	86883509	VBIBifBif87902_0487	SEQ00487	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	GO:0004564	beta-fructofuranosidase activity	go	NA
BIF1|SEQ00698	86883933	VBIBifBif87902_0698	SEQ00698	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Aminodeoxychorismate lyase (EC 4.1.3.38)	GO:0008696	4-amino-4-deoxychorismate lyase activity	go	NA
BIF1|SEQ00961	86884484	VBIBifBif87902_0961	SEQ00961	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity	go	NA
BIF1|SEQ01026	86884616	VBIBifBif87902_1026	SEQ01026	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	NAD(P)H oxidoreductase YRKL (EC 1.6.99.-) @ Putative NADPH-quinone reductase (modulator of drug activity B) @ Flavodoxin 2	GO:0016491	oxidoreductase activity	go	NA
BIF1|SEQ01026	86884616	VBIBifBif87902_1026	SEQ01026	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	NAD(P)H oxidoreductase YRKL (EC 1.6.99.-) @ Putative NADPH-quinone reductase (modulator of drug activity B) @ Flavodoxin 2	GO:0010181	FMN binding	go	NA
BIF1|SEQ01129	86884826	VBIBifBif87902_1129	SEQ01129	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	S-adenosylmethionine synthetase (EC 2.5.1.6)	GO:0004478	methionine adenosyltransferase activity	go	NA
BIF1|SEQ01158	86884889	VBIBifBif87902_1158	SEQ01158	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Methionine ABC transporter permease protein	GO:0005215	transporter activity	go	NA
BIF1|SEQ01158	86884889	VBIBifBif87902_1158	SEQ01158	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Methionine ABC transporter permease protein	GO:0006810	transport	go	NA
BIF1|SEQ01158	86884889	VBIBifBif87902_1158	SEQ01158	Bifidobacterium bifidum BGN4	BIF1	Bifidobacterium bifidum BGN4	CP001361	PATRIC	CDS	NA	Methionine ABC transporter permease protein	GO:0016020	membrane	go	NA
