cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV10|SEQ00507	VBIGarVag136958_0507	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147066	626604	627530	-	927		FIG00425592: hypothetical protein	GV10	clust_1695
GV10|SEQ00673	VBIGarVag136958_0673	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147414	871921	873162	+	1242		Allantoate amidohydrolase (EC 3.5.3.9)	GV10	clust_1669
GV10|SEQ00674	VBIGarVag136958_0674	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147416	873472	874956	+	1485	ncs	Allantoin permease	GV10	clust_1670
GV10|SEQ00675	VBIGarVag136958_0675	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147418	874958	876334	+	1377	allB	Allantoinase (EC 3.5.2.5)	GV10	clust_1671
GV10|SEQ00676	VBIGarVag136958_0676	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147420	876395	876592	+	198	thiS_1	Sulfur carrier protein ThiS	GV10	clust_1672
GV10|SEQ00677	VBIGarVag136958_0677	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147422	876593	877216	+	624	thiF	Sulfur carrier protein adenylyltransferase ThiF	GV10	clust_1673
GV10|SEQ00678	VBIGarVag136958_0678	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147424	877206	877973	+	768	thiG_1	Thiazole biosynthesis protein ThiG	GV10	clust_1674
GV10|SEQ00707	VBIGarVag136958_0707	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147484	913237	913353	+	117		hypothetical protein	GV10	clust_1675
GV10|SEQ00836	VBIGarVag136958_0836	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147746	1094936	1095817	+	882		Translation initiation factor 2	GV10	clust_1753
GV10|SEQ00874	VBIGarVag136958_0874	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147824	1137466	1138542	-	1077		FIG00672247: hypothetical protein	GV10	clust_1676
GV10|SEQ01078	VBIGarVag136958_1078	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32148248	1454110	1457295	-	3186		Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GV10	clust_1681
GV10|SEQ01184	VBIGarVag136958_1184	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32148474	1606408	1608192	+	1785		FIG00672241: hypothetical protein	GV10	clust_1682
GV12|SEQ00109	VBIGarVag144721_0109	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852877	39056	40297	+	1242		Allantoate amidohydrolase (EC 3.5.3.9)	GV12	clust_1669
GV12|SEQ00110	VBIGarVag144721_0110	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852879	40615	42099	+	1485		Allantoin permease	GV12	clust_1670
GV12|SEQ00111	VBIGarVag144721_0111	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852881	42101	43477	+	1377		Allantoinase (EC 3.5.2.5)	GV12	clust_1671
GV12|SEQ00112	VBIGarVag144721_0112	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852883	43551	43748	+	198		Sulfur carrier protein ThiS	GV12	clust_1672
GV12|SEQ00113	VBIGarVag144721_0113	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852885	43749	44372	+	624		Sulfur carrier protein adenylyltransferase ThiF	GV12	clust_1673
GV12|SEQ00114	VBIGarVag144721_0114	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852887	44362	45129	+	768		Thiazole biosynthesis protein ThiG	GV12	clust_1674
GV12|SEQ00145	VBIGarVag144721_0145	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852951	80390	80506	+	117		hypothetical protein	GV12	clust_1675
GV12|SEQ00282	VBIGarVag144721_0282	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853229	254583	255401	+	819		Translation initiation factor 2	GV12	clust_1753
GV12|SEQ00284	VBIGarVag144721_0284	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853235	257598	258674	-	1077		FIG00672247: hypothetical protein	GV12	clust_1676
GV12|SEQ00489	VBIGarVag144721_0489	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853661	561841	565131	-	3291		Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	GV12	clust_1681
GV12|SEQ00521	VBIGarVag144721_0521	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37853729	14894	16687	+	1794		FIG00672241: hypothetical protein	GV12	clust_1682
GV12|SEQ01084	VBIGarVag144721_1084	Gardnerella vaginalis 5-1	NZ_ADAN01000007	PATRIC	CDS	37854905	75161	76084	-	924		FIG00425592: hypothetical protein	GV12	clust_1695
GV15|SEQ00183	VBIGarVag249709_0183	Gardnerella vaginalis 6420B	ADEP01000003	PATRIC	CDS	85483859	125488	126351	+	864		Translation initiation factor 2	GV15	clust_1753
GV15|SEQ00185	VBIGarVag249709_0185	Gardnerella vaginalis 6420B	ADEP01000003	PATRIC	CDS	85483865	128545	129621	-	1077		FIG00672247: hypothetical protein	GV15	clust_1676
GV15|SEQ00716	VBIGarVag249709_0716	Gardnerella vaginalis 6420B	ADEP01000006	PATRIC	CDS	85484987	186247	187488	+	1242		Allantoate amidohydrolase (EC 3.5.3.9)	GV15	clust_1669
GV15|SEQ00717	VBIGarVag249709_0717	Gardnerella vaginalis 6420B	ADEP01000006	PATRIC	CDS	85484989	187788	189272	+	1485		Allantoin permease	GV15	clust_1670
GV15|SEQ00718	VBIGarVag249709_0718	Gardnerella vaginalis 6420B	ADEP01000006	PATRIC	CDS	85484991	189274	190650	+	1377		Allantoinase (EC 3.5.2.5)	GV15	clust_1671
