cds_id	na_feature_id	locus_tag	seq_id	id_full	id_short	genome_name	accession	annotation	feature_type	gene	product	go_id	go_term	anno_type	ortho_id
GV17|SEQ00126	37850249	VBIGarVag146634_0126	SEQ00126	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000002	PATRIC	CDS	NA	DNA polymerase I (EC 2.7.7.7)	GO:0003887	DNA-directed DNA polymerase activity	go	NA
GV17|SEQ00504	37851043	VBIGarVag146634_0504	SEQ00504	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000002	PATRIC	CDS	NA	Aspartate aminotransferase (EC 2.6.1.1)	GO:0004069	aspartate transaminase activity	go	NA
GV17|SEQ00765	37851602	VBIGarVag146634_0765	SEQ00765	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000007	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0016021	integral to membrane	go	NA
GV17|SEQ00765	37851602	VBIGarVag146634_0765	SEQ00765	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000007	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	go	NA
GV17|SEQ00765	37851602	VBIGarVag146634_0765	SEQ00765	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000007	PATRIC	CDS	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	GO:0009306	protein secretion	go	NA
GV17|SEQ00804	37851683	VBIGarVag146634_0804	SEQ00804	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000008	PATRIC	CDS	NA	SSU ribosomal protein S20p	GO:0003735	structural constituent of ribosome	go	NA
GV17|SEQ00804	37851683	VBIGarVag146634_0804	SEQ00804	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000008	PATRIC	CDS	NA	SSU ribosomal protein S20p	GO:0005840	ribosome	go	NA
GV17|SEQ00804	37851683	VBIGarVag146634_0804	SEQ00804	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000008	PATRIC	CDS	NA	SSU ribosomal protein S20p	GO:0006412	translation	go	NA
GV17|SEQ00804	37851683	VBIGarVag146634_0804	SEQ00804	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000008	PATRIC	CDS	NA	SSU ribosomal protein S20p	GO:0003723	RNA binding	go	NA
GV17|SEQ00804	37851683	VBIGarVag146634_0804	SEQ00804	Gardnerella vaginalis AMD	GV17	Gardnerella vaginalis AMD	NZ_ADAM01000008	PATRIC	CDS	NA	SSU ribosomal protein S20p	GO:0005622	intracellular	go	NA
