"Category","Group","Database","a","b","c","d","Odds ratio","p-value","q-value","Product"
"clust_0001","group1","ortho_id",7,3071,123,76064,1.40956130423391,0.357508570648528,1,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"clust_0001","group2","ortho_id",9,4778,121,74357,1.15752832865405,0.582430566706628,1,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"clust_0001","group6","ortho_id",15,9252,115,69883,0.985211023358012,1,1,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"clust_0001","group5","ortho_id",70,43180,60,35955,0.971447841086937,0.929804732671113,1,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"clust_0001","group3","ortho_id",24,15406,106,63729,0.93657004574867,0.825426881096456,1,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"clust_0001","group7","ortho_id",2,1436,128,77699,0.845438073491815,1,1,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"clust_0001","group4","ortho_id",3,2012,127,77123,0.905469707606228,1,1,"Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"clust_0002","group5","ortho_id",68,43182,40,35975,1.416264165275,0.082335655842777,0.492207862605917,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"clust_0002","group6","ortho_id",10,9257,98,69900,0.770522520948719,0.548117749103837,1,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"clust_0002","group2","ortho_id",6,4781,102,74376,0.915092408735549,1,1,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"clust_0002","group1","ortho_id",4,3074,104,76083,0.951942291396637,1,1,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"clust_0002","group7","ortho_id",2,1436,106,77721,1.02119880464124,0.723727542025682,1,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"clust_0002","group4","ortho_id",2,2013,106,77144,0.723075404691648,1,1,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"clust_0002","group3","ortho_id",16,15414,92,63743,0.719205190118871,0.273033648175199,0.922875901608725,"ATP-dependent Clp protease, ATP-binding subunit ClpC / Negative regulator of genetic competence clcC/mecB"
"clust_0003","group6","ortho_id",10,9257,96,69902,0.786603069127171,0.547173222170736,1,"4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"clust_0003","group5","ortho_id",67,43183,39,35976,1.43122353739998,0.0790943616528906,0.474405260359699,"4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"clust_0003","group7","ortho_id",2,1436,104,77723,1.04087664910649,0.71872413695501,1,"4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"clust_0003","group2","ortho_id",6,4781,100,74378,0.933419677365533,1,1,"4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"clust_0003","group4","ortho_id",2,2013,104,77146,0.736999739774263,1,1,"4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"clust_0003","group1","ortho_id",3,3075,103,76084,0.720662983985466,0.801058909856386,1,"4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"clust_0003","group3","ortho_id",16,15414,90,63745,0.735209987052727,0.325198128893149,1,"4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"clust_0004","group6","ortho_id",5,9262,74,69924,0.510109044017646,0.161474971405975,0.73231643094213,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0004","group7","ortho_id",1,1437,78,77749,0.693657263573825,1,1,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0004","group1","ortho_id",1,3077,78,76109,0.317115713320446,0.376244303266019,1,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0004","group5","ortho_id",60,43190,19,35996,2.63178433953349,0.000102280680184668,0.00321732758396602,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
