cds_id	ortho_id	full_id	short_id	seq_id	strain_id	id_short
GV12|SEQ00001	clust_2400	fid|37852645|locus|VBIGarVag144721_0001|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37852645|locus|VBIGarVag144721_0001	SEQ00001	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00076	clust_2401	fid|37852802|locus|VBIGarVag144721_0076|   FIG00672535: hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37852802|locus|VBIGarVag144721_0076	SEQ00076	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00095	clust_2402	fid|37852841|locus|VBIGarVag144721_0095|   DNA polymerase III alpha subunit (EC 2.7.7.7)   [Gardnerella vaginalis 5-1]	fid|37852841|locus|VBIGarVag144721_0095	SEQ00095	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00096	clust_2403	fid|37852843|locus|VBIGarVag144721_0096|   Cardiolipin synthetase (EC 2.7.8.-)   [Gardnerella vaginalis 5-1]	fid|37852843|locus|VBIGarVag144721_0096	SEQ00096	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00097	clust_2404	fid|37852845|locus|VBIGarVag144721_0097|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37852845|locus|VBIGarVag144721_0097	SEQ00097	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00098	clust_2405	fid|37852847|locus|VBIGarVag144721_0098|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37852847|locus|VBIGarVag144721_0098	SEQ00098	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00184	clust_2406	fid|37853029|locus|VBIGarVag144721_0184|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853029|locus|VBIGarVag144721_0184	SEQ00184	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00189	clust_2407	fid|37853039|locus|VBIGarVag144721_0189|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853039|locus|VBIGarVag144721_0189	SEQ00189	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00203	clust_2408	fid|37853067|locus|VBIGarVag144721_0203|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853067|locus|VBIGarVag144721_0203	SEQ00203	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00204	clust_2409	fid|37853069|locus|VBIGarVag144721_0204|   ABC transporter, ATP-binding protein   [Gardnerella vaginalis 5-1]	fid|37853069|locus|VBIGarVag144721_0204	SEQ00204	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00205	clust_2410	fid|37853071|locus|VBIGarVag144721_0205|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853071|locus|VBIGarVag144721_0205	SEQ00205	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00206	clust_2411	fid|37853073|locus|VBIGarVag144721_0206|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853073|locus|VBIGarVag144721_0206	SEQ00206	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00207	clust_2412	fid|37853075|locus|VBIGarVag144721_0207|   response regulator of two-component system   [Gardnerella vaginalis 5-1]	fid|37853075|locus|VBIGarVag144721_0207	SEQ00207	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00210	clust_2413	fid|37853083|locus|VBIGarVag144721_0210|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853083|locus|VBIGarVag144721_0210	SEQ00210	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00225	clust_2414	fid|37853113|locus|VBIGarVag144721_0225|   FIG00671990: hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853113|locus|VBIGarVag144721_0225	SEQ00225	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00235	clust_2415	fid|37853133|locus|VBIGarVag144721_0235|   Hydrolase, haloacid dehalogenase-like family   [Gardnerella vaginalis 5-1]	fid|37853133|locus|VBIGarVag144721_0235	SEQ00235	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00236	clust_2416	fid|37853135|locus|VBIGarVag144721_0236|   Preprotein translocase subunit SecG (TC 3.A.5.1.1)   [Gardnerella vaginalis 5-1]	fid|37853135|locus|VBIGarVag144721_0236	SEQ00236	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00259	clust_2417	fid|37853181|locus|VBIGarVag144721_0259|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853181|locus|VBIGarVag144721_0259	SEQ00259	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00274	clust_2418	fid|37853211|locus|VBIGarVag144721_0274|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853211|locus|VBIGarVag144721_0274	SEQ00274	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00330	clust_2419	fid|37853333|locus|VBIGarVag144721_0330|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853333|locus|VBIGarVag144721_0330	SEQ00330	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00346	clust_2420	fid|37853365|locus|VBIGarVag144721_0346|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853365|locus|VBIGarVag144721_0346	SEQ00346	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00410	clust_2421	fid|37853497|locus|VBIGarVag144721_0410|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853497|locus|VBIGarVag144721_0410	SEQ00410	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00427	clust_2422	fid|37853531|locus|VBIGarVag144721_0427|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853531|locus|VBIGarVag144721_0427	SEQ00427	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00434	clust_2423	fid|37853545|locus|VBIGarVag144721_0434|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853545|locus|VBIGarVag144721_0434	SEQ00434	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00469	clust_2424	fid|37853619|locus|VBIGarVag144721_0469|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853619|locus|VBIGarVag144721_0469	SEQ00469	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00479	clust_2425	fid|37853639|locus|VBIGarVag144721_0479|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853639|locus|VBIGarVag144721_0479	SEQ00479	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00493	clust_2426	fid|37853669|locus|VBIGarVag144721_0493|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853669|locus|VBIGarVag144721_0493	SEQ00493	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00536	clust_2427	fid|37853761|locus|VBIGarVag144721_0536|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853761|locus|VBIGarVag144721_0536	SEQ00536	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00537	clust_2428	fid|37853763|locus|VBIGarVag144721_0537|   DNA-binding response regulator, LuxR family   [Gardnerella vaginalis 5-1]	fid|37853763|locus|VBIGarVag144721_0537	SEQ00537	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00539	clust_2429	fid|37853767|locus|VBIGarVag144721_0539|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853767|locus|VBIGarVag144721_0539	SEQ00539	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00579	clust_2430	fid|37853851|locus|VBIGarVag144721_0579|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853851|locus|VBIGarVag144721_0579	SEQ00579	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00599	clust_2431	fid|37853895|locus|VBIGarVag144721_0599|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853895|locus|VBIGarVag144721_0599	SEQ00599	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00611	clust_2432	fid|37853919|locus|VBIGarVag144721_0611|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37853919|locus|VBIGarVag144721_0611	SEQ00611	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00663	clust_2433	fid|37854023|locus|VBIGarVag144721_0663|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854023|locus|VBIGarVag144721_0663	SEQ00663	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00809	clust_2434	fid|37854333|locus|VBIGarVag144721_0809|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854333|locus|VBIGarVag144721_0809	SEQ00809	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00814	clust_2435	fid|37854343|locus|VBIGarVag144721_0814|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854343|locus|VBIGarVag144721_0814	SEQ00814	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00817	clust_2436	fid|37854349|locus|VBIGarVag144721_0817|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854349|locus|VBIGarVag144721_0817	SEQ00817	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00840	clust_2437	fid|37854395|locus|VBIGarVag144721_0840|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854395|locus|VBIGarVag144721_0840	SEQ00840	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00847	clust_2438	fid|37854409|locus|VBIGarVag144721_0847|   SSU ribosomal protein S16p   [Gardnerella vaginalis 5-1]	fid|37854409|locus|VBIGarVag144721_0847	SEQ00847	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00923	clust_2439	fid|37854569|locus|VBIGarVag144721_0923|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854569|locus|VBIGarVag144721_0923	SEQ00923	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00930	clust_2440	fid|37854585|locus|VBIGarVag144721_0930|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854585|locus|VBIGarVag144721_0930	SEQ00930	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00932	clust_2441	fid|37854589|locus|VBIGarVag144721_0932|   Sortase A, LPXTG specific   [Gardnerella vaginalis 5-1]	fid|37854589|locus|VBIGarVag144721_0932	SEQ00932	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00961	clust_2442	fid|37854657|locus|VBIGarVag144721_0961|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854657|locus|VBIGarVag144721_0961	SEQ00961	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00962	clust_2443	fid|37854659|locus|VBIGarVag144721_0962|   ParA   [Gardnerella vaginalis 5-1]	fid|37854659|locus|VBIGarVag144721_0962	SEQ00962	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00963	clust_2444	fid|37854661|locus|VBIGarVag144721_0963|   putative NADH-dependent flavin oxidoreductase   [Gardnerella vaginalis 5-1]	fid|37854661|locus|VBIGarVag144721_0963	SEQ00963	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00964	clust_2445	fid|37854663|locus|VBIGarVag144721_0964|   Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)   [Gardnerella vaginalis 5-1]	fid|37854663|locus|VBIGarVag144721_0964	SEQ00964	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00967	clust_2446	fid|37854669|locus|VBIGarVag144721_0967|   COG0477: Permeases of the major facilitator superfamily   [Gardnerella vaginalis 5-1]	fid|37854669|locus|VBIGarVag144721_0967	SEQ00967	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00968	clust_2447	fid|37854671|locus|VBIGarVag144721_0968|   Tn5252, Orf23   [Gardnerella vaginalis 5-1]	fid|37854671|locus|VBIGarVag144721_0968	SEQ00968	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00969	clust_2448	fid|37854673|locus|VBIGarVag144721_0969|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854673|locus|VBIGarVag144721_0969	SEQ00969	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00970	clust_2449	fid|37854675|locus|VBIGarVag144721_0970|   TrsE-like protein   [Gardnerella vaginalis 5-1]	fid|37854675|locus|VBIGarVag144721_0970	SEQ00970	Gardnerella vaginalis 5-1	GV12
