cds_id	locus_tag	genome_name	accession	annotation	feature_type	na_feature_id	start_max	end_min	strand	na_length	gene	product	id_short	ortho_id
GV10|SEQ00507	VBIGarVag136958_0507	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147066	626604	627530	-	927		FIG00425592: hypothetical protein	GV10	clust_1808
GV10|SEQ00673	VBIGarVag136958_0673	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147414	871921	873162	+	1242		Allantoate amidohydrolase (EC 3.5.3.9)	GV10	clust_2606
GV10|SEQ00674	VBIGarVag136958_0674	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147416	873472	874956	+	1485	ncs	Allantoin permease	GV10	clust_2607
GV10|SEQ00675	VBIGarVag136958_0675	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147418	874958	876334	+	1377	allB	Allantoinase (EC 3.5.2.5)	GV10	clust_2416
GV10|SEQ00676	VBIGarVag136958_0676	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147420	876395	876592	+	198	thiS_1	Sulfur carrier protein ThiS	GV10	clust_2881
GV10|SEQ00677	VBIGarVag136958_0677	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147422	876593	877216	+	624	thiF	Sulfur carrier protein adenylyltransferase ThiF	GV10	clust_2417
GV10|SEQ00707	VBIGarVag136958_0707	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147484	913237	913353	+	117		hypothetical protein	GV10	clust_2882
GV10|SEQ00770	VBIGarVag136958_0770	Gardnerella vaginalis 409-05	NC_013721	PATRIC	CDS	32147612	998461	999249	+	789		hypothetical protein	GV10	clust_2883
GV12|SEQ00109	VBIGarVag144721_0109	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852877	39056	40297	+	1242		Allantoate amidohydrolase (EC 3.5.3.9)	GV12	clust_2606
GV12|SEQ00110	VBIGarVag144721_0110	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852879	40615	42099	+	1485		Allantoin permease	GV12	clust_2607
GV12|SEQ00111	VBIGarVag144721_0111	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852881	42101	43477	+	1377		Allantoinase (EC 3.5.2.5)	GV12	clust_2416
GV12|SEQ00112	VBIGarVag144721_0112	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852883	43551	43748	+	198		Sulfur carrier protein ThiS	GV12	clust_2881
GV12|SEQ00113	VBIGarVag144721_0113	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852885	43749	44372	+	624		Sulfur carrier protein adenylyltransferase ThiF	GV12	clust_2417
GV12|SEQ00145	VBIGarVag144721_0145	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37852951	80390	80506	+	117		hypothetical protein	GV12	clust_2882
